,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,388,329.12371134020617,0.039506394416093826,-18.001066207885742,20.29239845275879,10.477598190307617,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,427,417.07259953161594,0.057975564152002335,-7.276580810546875,17.003992080688477,11.574212074279785,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,407,472.997542997543,0.06039287522435188,-7.45872688293457,23.476844787597656,42.93183898925781,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,383,514.2036553524804,0.060973264276981354,-9.500133514404297,26.517318725585938,32.08313751220703,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,367,552.6430517711171,0.06765090674161911,-17.919635772705078,45.87579345703125,312.6503601074219,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,359,583.5654596100278,0.07247748225927353,-17.8985652923584,48.88594436645508,430.9380187988281,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,342,623.0994152046784,0.06843197345733643,-19.01980972290039,49.380916595458984,549.4000854492188,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,321,600.436137071651,0.0706067904829979,-20.482894897460938,49.57268524169922,593.9766235351562,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,313,606.6773162939297,0.06797803193330765,-21.191213607788086,49.639949798583984,333.42657470703125,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,303,708.3498349834983,0.07100982964038849,-16.499509811401367,49.563167572021484,288.45166015625,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,294,719.8299319727892,0.07063412666320801,-18.952077865600586,49.63408660888672,285.25518798828125,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,293,761.0580204778157,0.06625081598758698,-16.22854995727539,49.35775375366211,195.96231079101562,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,270,719.3703703703703,0.0665491372346878,-15.360794067382812,49.531856536865234,241.42727661132812,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,252,787.7380952380952,0.064082071185112,-16.43824577331543,49.533695220947266,116.26490020751953,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
14,14,3750000,train,244,894.344262295082,0.06087882071733475,-17.926963806152344,49.52232360839844,117.73004150390625,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
15,15,4000000,train,235,935.0212765957447,0.06055942550301552,-19.771852493286133,49.591949462890625,161.7914276123047,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
16,16,4250000,train,228,933.2456140350877,0.0562504306435585,-19.751169204711914,49.514373779296875,215.645751953125,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
17,17,4500000,train,225,929.8222222222222,0.05766774341464043,-21.829137802124023,49.494537353515625,98.64791870117188,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
18,18,4750000,train,215,1043.1162790697674,0.05522121116518974,-20.43400001525879,49.46754455566406,102.49038696289062,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
19,19,5000000,train,210,1014.8571428571429,0.0555725172162056,-22.344144821166992,49.577728271484375,84.52471160888672,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
20,20,5250000,train,209,992.9186602870814,0.0550101175904274,-22.90217399597168,49.53187561035156,164.76657104492188,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
21,21,5500000,train,211,995.3554502369668,0.05354613438248634,-23.697690963745117,49.565284729003906,125.3372573852539,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
22,22,5750000,train,203,1027.9802955665025,0.05902809277176857,-24.710996627807617,49.51410675048828,131.06846618652344,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
23,23,6000000,train,192,1100.7291666666667,0.058622732758522034,-25.402204513549805,49.397396087646484,143.02682495117188,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
24,24,6250000,train,191,1090.1047120418848,0.05635283514857292,-25.530616760253906,49.432212829589844,142.4443817138672,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
25,25,6500000,train,205,992.9268292682926,0.05403250828385353,-25.664146423339844,49.4118537902832,80.74181365966797,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
26,26,6750000,train,199,1104.572864321608,0.05492745339870453,-25.818815231323242,49.34428405761719,113.8177490234375,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
27,27,7000000,train,215,1063.3488372093022,0.05077650398015976,-25.548240661621094,49.44960021972656,70.18404388427734,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
28,28,7250000,train,210,1060.8095238095239,0.055651139467954636,-26.2273006439209,49.36333084106445,92.50968933105469,ACN,T3,alien,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
