,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,403,10.838709677419354,0.020544232800602913,-20.59375,19.176830291748047,13.067451477050781,ACN,T2,amidar,10,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,332,33.88253012048193,0.013350478373467922,-11.530037879943848,14.921263694763184,2.716369390487671,ACN,T2,amidar,10,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,309,46.64724919093851,0.012992441654205322,-9.195713996887207,13.474884986877441,3.4027369022369385,ACN,T2,amidar,10,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,295,54.630508474576274,0.014388169161975384,-7.060217380523682,12.130705833435059,3.888725519180298,ACN,T2,amidar,10,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,259,71.34362934362935,0.016347026452422142,-6.431267738342285,11.80398941040039,4.222659111022949,ACN,T2,amidar,10,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,230,84.59565217391304,0.015753263607621193,-5.1981635093688965,11.605387687683105,4.470385551452637,ACN,T2,amidar,10,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,237,89.52742616033755,0.01726224273443222,-4.715096950531006,11.447110176086426,4.43486213684082,ACN,T2,amidar,10,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,253,78.73122529644269,0.016106855124235153,-4.826906204223633,11.487141609191895,3.9638304710388184,ACN,T2,amidar,10,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,231,102.83549783549783,0.015618545934557915,-6.04133939743042,11.812225341796875,4.79757833480835,ACN,T2,amidar,10,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,212,118.58018867924528,0.016106856986880302,-6.689798831939697,11.652721405029297,3.8822548389434814,ACN,T2,amidar,10,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
