,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,433,274.35796766743647,0.084483802318573,-44.18752670288086,48.088836669921875,48.05744934082031,ACN,T3,assault,7,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,206,549.7233009708738,0.040784191340208054,-8.541319847106934,28.885202407836914,82.49716186523438,ACN,T3,assault,7,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,202,710.0445544554456,0.038887906819581985,-7.499107837677002,25.066617965698242,84.07444763183594,ACN,T3,assault,7,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,191,790.4659685863875,0.04311059042811394,-11.037959098815918,26.170166015625,25.92147445678711,ACN,T3,assault,7,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,120,1349.0416666666667,0.04064187780022621,-11.182950019836426,27.80767250061035,29.43933868408203,ACN,T3,assault,7,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,89,2000.3932584269662,0.03357072174549103,-13.770355224609375,27.61952781677246,40.429603576660156,ACN,T3,assault,7,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,110,1676.6363636363637,0.03367304056882858,-18.139076232910156,34.30392837524414,50.190223693847656,ACN,T3,assault,7,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,101,1844.5544554455446,0.03196432441473007,-20.77007484436035,37.65170669555664,40.656742095947266,ACN,T3,assault,7,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,93,2073.47311827957,0.03186532109975815,-21.5838565826416,40.023292541503906,47.801612854003906,ACN,T3,assault,7,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,94,2092.2127659574467,0.03146301209926605,-19.97438621520996,41.13488006591797,96.24691772460938,ACN,T3,assault,7,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
