,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,920,289.0217391304348,0.10297209024429321,-21.186054229736328,34.348731994628906,13.982077598571777,ACN,T1,asterix,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,760,408.2236842105263,0.10349627584218979,-18.904132843017578,39.0461540222168,20.465164184570312,ACN,T1,asterix,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,608,585.4440789473684,0.11155946552753448,-17.30807876586914,43.056251525878906,26.1690616607666,ACN,T1,asterix,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,447,763.8702460850112,0.11365398019552231,-15.404117584228516,45.79328155517578,31.99907112121582,ACN,T1,asterix,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,285,1239.122807017544,0.11136939376592636,-14.73198127746582,46.30852508544922,38.261207580566406,ACN,T1,asterix,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,243,1608.641975308642,0.0981908068060875,-17.536357879638672,47.525665283203125,50.87992477416992,ACN,T1,asterix,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,243,1813.1687242798355,0.08592705428600311,-19.680233001708984,47.843204498291016,47.1221923828125,ACN,T1,asterix,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,255,2025.8823529411766,0.07956638187170029,-21.76004409790039,48.8414421081543,39.3483772277832,ACN,T1,asterix,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,245,2214.6938775510203,0.07833093404769897,-23.588260650634766,49.15476989746094,43.401939392089844,ACN,T1,asterix,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,255,2275.098039215686,0.07858898490667343,-30.41008758544922,49.33941650390625,54.256500244140625,ACN,T1,asterix,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,232,2537.2844827586205,0.08103238791227341,-33.687652587890625,49.62070083618164,49.21477508544922,ACN,T1,asterix,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,208,2825.0,0.08227312564849854,-35.0001335144043,49.70307922363281,55.20680236816406,ACN,T1,asterix,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
