,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,260,936.5769230769231,0.12722040712833405,-32.76988983154297,47.632320404052734,18.813331604003906,ACN,T3,asteroids,14,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,344,786.1046511627907,0.12269540876150131,-17.739118576049805,48.31782531738281,24.469667434692383,ACN,T3,asteroids,14,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,352,728.6931818181819,0.12183292210102081,-20.03243064880371,47.97422790527344,50.543678283691406,ACN,T3,asteroids,14,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,354,727.8248587570622,0.11400105059146881,-21.026504516601562,47.19343948364258,55.42342758178711,ACN,T3,asteroids,14,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,361,654.1551246537396,0.11186390370130539,-20.232683181762695,45.12720489501953,79.96268463134766,ACN,T3,asteroids,14,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,358,662.8212290502794,0.1056833565235138,-23.797761917114258,47.966976165771484,126.39212799072266,ACN,T3,asteroids,14,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,382,613.717277486911,0.10090044885873795,-23.112436294555664,48.773536682128906,156.87063598632812,ACN,T3,asteroids,14,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,350,652.2857142857143,0.09549912810325623,-26.311063766479492,48.43321990966797,195.98062133789062,ACN,T3,asteroids,14,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,295,781.1864406779661,0.0931088924407959,-27.55784034729004,48.732852935791016,113.6137924194336,ACN,T3,asteroids,14,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,225,867.7333333333333,0.07702518999576569,-29.92414665222168,48.703556060791016,146.45382690429688,ACN,T3,asteroids,14,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,208,976.4423076923077,0.06821302324533463,-26.7857608795166,48.68869400024414,185.0720977783203,ACN,T3,asteroids,14,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,205,1099.5121951219512,0.06165589392185211,-29.116718292236328,47.72774887084961,115.89173889160156,ACN,T3,asteroids,14,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
