,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,225,13204.888888888889,0.6005863547325134,-38.82827377319336,49.65655517578125,115.52142333984375,ACN,T2,atlantis,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,290,8107.241379310345,0.439018189907074,-23.458086013793945,49.91645431518555,209.4720458984375,ACN,T2,atlantis,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,338,6553.846153846154,0.40312498807907104,-17.853214263916016,49.91800308227539,292.0009765625,ACN,T2,atlantis,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,339,6684.070796460177,0.38765284419059753,-18.399147033691406,49.95406723022461,259.01080322265625,ACN,T2,atlantis,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,326,7095.0920245398775,0.38422051072120667,-20.000518798828125,50.043582916259766,239.50582885742188,ACN,T2,atlantis,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,284,9045.774647887323,0.36472833156585693,-23.00466537475586,50.156803131103516,239.3926544189453,ACN,T2,atlantis,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,309,8211.650485436894,0.3742499053478241,-22.71833038330078,50.26675796508789,365.4800720214844,ACN,T2,atlantis,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,289,8979.930795847751,0.37725725769996643,-26.472593307495117,50.396358489990234,359.9351806640625,ACN,T2,atlantis,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,307,8170.358306188925,0.3968932628631592,-28.392505645751953,50.51856994628906,315.5347595214844,ACN,T2,atlantis,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,297,8861.27946127946,0.4094597399234772,-27.02213478088379,50.648250579833984,182.25802612304688,ACN,T2,atlantis,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,284,8541.549295774648,0.4125424325466156,-27.16045379638672,50.781654357910156,199.6246337890625,ACN,T2,atlantis,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,274,9306.569343065694,0.41370031237602234,-29.15497589111328,50.902015686035156,170.71981811523438,ACN,T2,atlantis,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,277,9115.162454873645,0.4077414274215698,-30.256357192993164,51.05194854736328,244.3636016845703,ACN,T2,atlantis,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,277,9116.606498194946,0.40633976459503174,-31.31431007385254,51.187503814697266,337.6260070800781,ACN,T2,atlantis,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
14,14,3750000,train,252,10659.126984126984,0.3938368260860443,-31.44902992248535,51.317630767822266,206.21453857421875,ACN,T2,atlantis,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
15,15,4000000,train,234,12505.982905982906,0.4031871259212494,-31.114322662353516,51.43313217163086,230.05711364746094,ACN,T2,atlantis,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
16,16,4250000,train,239,11712.55230125523,0.40244606137275696,-34.42092514038086,51.585205078125,420.7868957519531,ACN,T2,atlantis,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
17,17,4500000,train,240,13238.333333333334,0.4035203158855438,-31.915605545043945,51.732154846191406,265.20513916015625,ACN,T2,atlantis,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
18,18,4750000,train,195,17967.69230769231,0.42622414231300354,-30.966148376464844,51.898963928222656,332.277587890625,ACN,T2,atlantis,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
19,19,5000000,train,195,17476.410256410258,0.4351608157157898,-31.052814483642578,52.09440231323242,298.7281799316406,ACN,T2,atlantis,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
