,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,416,14.51923076923077,0.023386958986520767,-23.45530891418457,24.19051170349121,5.05679988861084,ACN,T2,bankheist,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,320,17.03125,0.017790960147976875,-7.616864204406738,19.40011978149414,1.4332038164138794,ACN,T2,bankheist,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,359,18.440111420612812,0.016812143847346306,-5.902178764343262,17.310020446777344,2.1919212341308594,ACN,T2,bankheist,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,371,19.59568733153639,0.014851780608296394,-4.711726188659668,15.241660118103027,2.5329551696777344,ACN,T2,bankheist,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,364,20.302197802197803,0.012981051579117775,-3.880358934402466,13.120855331420898,2.775240898132324,ACN,T2,bankheist,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,356,19.43820224719101,0.011370272375643253,-3.2634310722351074,12.068268775939941,2.921719551086426,ACN,T2,bankheist,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,338,17.337278106508876,0.010797630995512009,-2.316535472869873,10.929131507873535,2.9282009601593018,ACN,T2,bankheist,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,321,13.2398753894081,0.010102943517267704,-1.854265570640564,10.076640129089355,2.7964227199554443,ACN,T2,bankheist,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,316,13.386075949367088,0.009586772881448269,-1.7805657386779785,10.159586906433105,2.916260004043579,ACN,T2,bankheist,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,321,13.021806853582554,0.008674081414937973,-1.4831181764602661,10.381388664245605,2.5102059841156006,ACN,T2,bankheist,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,331,20.664652567975832,0.007816740311682224,-1.2097234725952148,11.07348346710205,3.0475690364837646,ACN,T2,bankheist,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,340,22.61764705882353,0.008691311813890934,-1.0448644161224365,12.68516731262207,3.128417730331421,ACN,T2,bankheist,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,346,28.294797687861273,0.009399350732564926,-0.8896821737289429,12.663991928100586,2.4241998195648193,ACN,T2,bankheist,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,350,35.51428571428571,0.010269427672028542,-1.0533679723739624,13.931885719299316,2.675447702407837,ACN,T2,bankheist,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
