,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,184,2413.0434782608695,0.11460455507040024,-18.93726348876953,21.881216049194336,6.779032230377197,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,159,2522.012578616352,0.10103409737348557,-11.084056854248047,23.595258712768555,6.284557819366455,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,154,3045.4545454545455,0.10616300255060196,-8.56591796875,21.004667282104492,8.90213394165039,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,155,3490.3225806451615,0.1061357632279396,-6.985629558563232,22.459901809692383,10.008845329284668,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,144,3409.722222222222,0.10712254792451859,-6.22986364364624,20.75288200378418,8.6493501663208,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,145,3096.551724137931,0.1057838499546051,-5.051959991455078,18.196063995361328,7.337052822113037,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,152,3039.4736842105262,0.10561200976371765,-4.167987823486328,14.70959758758545,7.842674732208252,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,143,3678.3216783216785,0.1089097186923027,-3.5536422729492188,12.14560604095459,6.874298095703125,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,123,4097.5609756097565,0.10270658135414124,-2.700732469558716,11.576948165893555,6.283184051513672,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,109,4055.045871559633,0.10236337780952454,-2.1816000938415527,9.921280860900879,5.083920955657959,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,93,4569.89247311828,0.10557197034358978,-1.6368422508239746,9.090154647827148,4.178831577301025,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,104,4221.153846153846,0.09797367453575134,-1.3057935237884521,7.985211372375488,3.5150978565216064,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,119,3798.3193277310925,0.09349563717842102,-1.0553534030914307,7.834000110626221,3.243671417236328,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,109,4431.192660550459,0.09290783852338791,-0.8752877116203308,8.164210319519043,2.3276712894439697,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
14,14,3750000,train,120,4758.333333333333,0.09539587795734406,-0.781621515750885,7.795875549316406,2.308966636657715,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
15,15,4000000,train,118,7618.64406779661,0.11323057860136032,-0.7835080623626709,9.09642219543457,2.74934983253479,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
16,16,4250000,train,133,10007.518796992481,0.15036198496818542,-4.132449626922607,45.65385818481445,24.131000518798828,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
17,17,4500000,train,171,8859.649122807017,0.24634765088558197,-10.79295825958252,49.389404296875,24.191722869873047,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
18,18,4750000,train,183,5404.371584699454,0.31845736503601074,-9.33849811553955,49.205196380615234,37.653236389160156,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
19,19,5000000,train,152,13276.315789473685,0.2813861668109894,-17.8741455078125,49.24888229370117,81.9383544921875,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
20,20,5250000,train,151,17205.298013245032,0.2998034358024597,-32.09577941894531,49.52006912231445,380.2931823730469,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
21,21,5500000,train,145,20648.275862068964,0.3311954736709595,-35.44025802612305,49.574974060058594,143.0401611328125,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
22,22,5750000,train,146,19945.205479452055,0.3715818226337433,-39.53452682495117,49.63174819946289,112.78473663330078,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
23,23,6000000,train,139,22129.4964028777,0.40194225311279297,-41.41383743286133,49.74138641357422,122.15745544433594,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
24,24,6250000,train,143,21440.559440559442,0.4120516777038574,-44.689537048339844,49.89104461669922,119.22887420654297,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
25,25,6500000,train,137,23043.795620437955,0.41458845138549805,-47.345924377441406,50.090023040771484,99.43490600585938,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
26,26,6750000,train,137,23474.452554744526,0.41109663248062134,-49.0597038269043,50.32048034667969,93.52336883544922,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
27,27,7000000,train,133,24007.51879699248,0.4168376624584198,-49.31150436401367,50.56685256958008,114.65721130371094,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
28,28,7250000,train,133,25330.82706766917,0.4240213632583618,-49.89726638793945,50.84164047241211,111.19486999511719,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
29,29,7500000,train,133,24887.218045112782,0.42371681332588196,-50.30299758911133,51.13312530517578,113.44930267333984,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
30,30,7750000,train,133,25082.706766917294,0.4262668192386627,-50.81183624267578,51.443233489990234,85.7363052368164,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
31,31,8000000,train,131,25763.358778625956,0.4198084771633148,-51.170860290527344,51.770267486572266,97.2909164428711,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
32,32,8250000,train,130,25946.153846153848,0.4120118021965027,-51.68062973022461,52.110557556152344,119.86282348632812,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
33,33,8500000,train,127,26511.811023622045,0.41642552614212036,-51.985843658447266,52.473392486572266,101.84261322021484,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
34,34,8750000,train,127,26787.40157480315,0.40530863404273987,-52.57399368286133,52.84300231933594,97.48904418945312,ACN,T1,battlezone,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
