,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,827,216.33615477629988,0.11057210713624954,-21.42987060546875,37.41645812988281,10.576027870178223,ACN,T1,berzerk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,321,474.14330218068534,0.10893223434686661,-16.08769989013672,40.96832275390625,11.802714347839355,ACN,T1,berzerk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,285,453.0877192982456,0.10197887569665909,-11.739603042602539,42.1876335144043,13.816976547241211,ACN,T1,berzerk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,211,465.7345971563981,0.10020814090967178,-8.958568572998047,42.12259292602539,16.011518478393555,ACN,T1,berzerk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,151,511.12582781456956,0.07152587920427322,-7.017911911010742,42.36843490600586,14.19321060180664,ACN,T1,berzerk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,79,531.7721518987341,0.04531306400895119,-5.114333152770996,40.90797805786133,13.516337394714355,ACN,T1,berzerk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,49,580.4081632653061,0.030528901144862175,-4.6339898109436035,39.46692657470703,11.065690040588379,ACN,T1,berzerk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,55,585.2727272727273,0.02076845057308674,-4.7813615798950195,38.97636413574219,9.992035865783691,ACN,T1,berzerk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,71,536.6197183098592,0.014031939208507538,-4.228531360626221,39.30804443359375,7.901147365570068,ACN,T1,berzerk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,81,624.9382716049382,0.012146221473813057,-3.953779458999634,38.556304931640625,8.715448379516602,ACN,T1,berzerk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,92,610.6521739130435,0.011943547986447811,-4.492475509643555,38.223018646240234,8.289006233215332,ACN,T1,berzerk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,107,548.5046728971963,0.013506992720067501,-5.322091579437256,39.55358123779297,8.721757888793945,ACN,T1,berzerk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,152,598.1578947368421,0.01488796528428793,-5.078584671020508,39.45273208618164,10.64428997039795,ACN,T1,berzerk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,218,587.7522935779816,0.018077611923217773,-5.6747636795043945,39.63264083862305,8.98832893371582,ACN,T1,berzerk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
14,14,3750000,train,263,618.745247148289,0.022500861436128616,-5.519245624542236,39.865848541259766,9.633261680603027,ACN,T1,berzerk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
15,15,4000000,train,213,650.4694835680751,0.026538057252764702,-5.289034843444824,40.12778091430664,11.539803504943848,ACN,T1,berzerk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
16,16,4250000,train,107,676.3551401869158,0.025039901956915855,-4.235241413116455,37.35623550415039,8.112177848815918,ACN,T1,berzerk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
17,17,4500000,train,119,691.09243697479,0.02234107442200184,-4.969144344329834,38.513511657714844,8.706128120422363,ACN,T1,berzerk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
18,18,4750000,train,179,640.5027932960894,0.019625330343842506,-4.782394886016846,37.473167419433594,8.903182983398438,ACN,T1,berzerk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
19,19,5000000,train,221,677.6923076923077,0.01909303478896618,-6.251166820526123,35.70988464355469,8.175541877746582,ACN,T1,berzerk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
20,20,5250000,train,260,681.3076923076923,0.021306799724698067,-5.106196880340576,36.37007141113281,7.410433292388916,ACN,T1,berzerk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
