,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,139,-6.0503597122302155,0.00442391075193882,-21.89959144592285,18.24776268005371,8.149129867553711,ACN,T1,boxing,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,140,-28.84285714285714,0.002811369253322482,-7.35425329208374,11.638794898986816,0.8492064476013184,ACN,T1,boxing,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,140,-25.607142857142858,0.0027696883771568537,-5.799042701721191,9.862756729125977,0.7766907215118408,ACN,T1,boxing,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,140,-25.735714285714284,0.0028094176668673754,-4.745459079742432,8.534351348876953,0.9198776483535767,ACN,T1,boxing,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,140,-22.37142857142857,0.0029288025107234716,-3.8348121643066406,7.199183940887451,0.8088189363479614,ACN,T1,boxing,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,140,-23.764285714285716,0.0030255799647420645,-3.0475881099700928,5.94635534286499,0.6690543293952942,ACN,T1,boxing,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,140,-25.12142857142857,0.0032916695345193148,-2.4149787425994873,4.904919147491455,0.5753099918365479,ACN,T1,boxing,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,140,-26.235714285714284,0.003726713825017214,-1.933154821395874,4.0578813552856445,0.5230844616889954,ACN,T1,boxing,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,140,-27.035714285714285,0.004533931612968445,-1.5737147331237793,3.3209261894226074,0.5263336300849915,ACN,T1,boxing,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,140,-29.292857142857144,0.005712372250854969,-1.4584860801696777,2.7030820846557617,0.5374449491500854,ACN,T1,boxing,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,140,-29.985714285714284,0.007187770679593086,-1.618722915649414,2.2484490871429443,0.8146206736564636,ACN,T1,boxing,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,140,-29.685714285714287,0.008468997664749622,-1.6608965396881104,1.999100685119629,1.2356680631637573,ACN,T1,boxing,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,140,-28.814285714285713,0.009150766767561436,-1.7264859676361084,1.956488013267517,1.6742618083953857,ACN,T1,boxing,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
