,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,1127,1.5678793256433008,0.026914171874523163,-19.96540069580078,16.547151565551758,10.055872917175293,ACN,T1,breakout,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,370,1.9054054054054055,0.008037781342864037,-9.509530067443848,12.809470176696777,2.4993364810943604,ACN,T1,breakout,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,629,2.3640699523052464,0.005078076850622892,-8.052172660827637,10.619658470153809,5.0288472175598145,ACN,T1,breakout,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,1042,3.5163147792706333,0.005457162391394377,-6.437982559204102,9.145868301391602,4.117361545562744,ACN,T1,breakout,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,820,5.330487804878048,0.004719410091638565,-5.243045806884766,7.6586198806762695,2.5316402912139893,ACN,T1,breakout,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,671,7.171385991058123,0.0047439648769795895,-4.810178756713867,7.246664524078369,1.623903512954712,ACN,T1,breakout,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,479,11.668058455114823,0.005006881896406412,-4.625918865203857,7.515785217285156,1.7469091415405273,ACN,T1,breakout,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,416,14.661057692307692,0.00544602470472455,-4.598555088043213,8.127602577209473,2.239147901535034,ACN,T1,breakout,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,371,17.711590296495956,0.0062219323590397835,-4.618248462677002,8.036075592041016,2.4117414951324463,ACN,T1,breakout,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,320,22.878125,0.0065743387676775455,-4.7055344581604,7.965933799743652,2.707460641860962,ACN,T1,breakout,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,311,24.983922829581992,0.006767280399799347,-4.336597919464111,7.67047119140625,3.2042694091796875,ACN,T1,breakout,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,264,32.06060606060606,0.007415128871798515,-3.6917784214019775,7.069297790527344,3.641138792037964,ACN,T1,breakout,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,229,41.02620087336245,0.007490226998925209,-3.534391403198242,7.0967230796813965,4.778374671936035,ACN,T1,breakout,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,220,43.82272727272727,0.007830888964235783,-2.8974649906158447,7.943498611450195,4.048235893249512,ACN,T1,breakout,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
14,14,3750000,train,206,52.189320388349515,0.008283399976789951,-5.896668910980225,33.268436431884766,5.449766159057617,ACN,T1,breakout,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
15,15,4000000,train,211,51.691943127962084,0.008305994793772697,-14.183446884155273,49.32081985473633,13.959209442138672,ACN,T1,breakout,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
16,16,4250000,train,201,56.18407960199005,0.008152630180120468,-16.321640014648438,49.533447265625,11.718907356262207,ACN,T1,breakout,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
17,17,4500000,train,192,62.015625,0.00880051776766777,-16.10140609741211,49.56850051879883,11.297234535217285,ACN,T1,breakout,4,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
