,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,342,2371.6725146198833,0.20498554,-26.303139,50.013832,39.397144,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,346,2585.936416184971,0.1716531,-17.823908,49.820732,53.87378,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,290,3782.037931034483,0.16875888,-21.783308,49.435295,62.714676,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,287,4060.362369337979,0.16765983,-20.235468,49.45144,65.26492,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,276,4816.148550724638,0.17028321,-22.024744,49.532738,66.55094,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,252,5764.4484126984125,0.18437766,-23.089975,49.686188,53.7034,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,214,7887.252336448598,0.1994474,-20.70613,49.882347,72.42204,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,181,10295.436464088398,0.21316342,-21.981924,50.103916,61.326633,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,155,13196.748387096774,0.23388843,-21.31752,50.33285,96.249985,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,149,14763.228187919463,0.24848124,-21.837288,50.59161,89.00508,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,133,17386.06766917293,0.26656175,-25.227098,50.8671,94.57069,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,126,19361.539682539682,0.27837765,-24.305765,51.189697,82.32277,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,128,18516.5546875,0.28310153,-23.08945,51.56024,123.56768,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,120,21353.758333333335,0.29206043,-25.22395,51.96023,193.1561,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
14,14,3750000,train,111,23548.38738738739,0.30006498,-29.790459,52.390263,178.52249,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
15,15,4000000,train,97,27902.907216494845,0.31081313,-32.86743,52.86053,226.77692,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
16,16,4250000,train,95,27830.18947368421,0.3093295,-42.469822,53.359524,127.12734,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
17,17,4500000,train,108,25288.24074074074,0.3139794,-44.30806,53.89048,172.74756,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
18,18,4750000,train,95,29199.36842105263,0.3159111,-45.881805,54.44515,170.84526,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
19,19,5000000,train,84,33382.25,0.31306937,-45.94864,55.01501,192.8628,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
20,20,5250000,train,88,32743.761363636364,0.31192696,-46.50494,55.60446,177.7067,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
21,21,5500000,train,85,34532.7294117647,0.31708768,-45.385952,56.222317,155.67905,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
22,22,5750000,train,79,36949.556962025315,0.3194687,-43.42771,56.84387,204.99927,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
23,23,6000000,train,77,40823.33766233766,0.32463986,-51.253998,57.48791,162.17836,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
24,24,6250000,train,80,37579.3125,0.3206021,-49.10646,58.162094,240.73859,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
25,25,6500000,train,78,39158.820512820515,0.31795487,-47.196342,58.830322,209.90167,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
26,26,6750000,train,78,39754.46153846154,0.3214501,-44.993324,59.53279,237.00162,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
27,27,7000000,train,80,38512.3875,0.3215712,-43.35931,60.232292,248.68123,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
28,28,7250000,train,73,42753.191780821915,0.3140293,-47.281914,60.94253,228.86118,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
29,29,7500000,train,72,43493.59722222222,0.31165355,-46.494656,61.645657,276.49966,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
30,30,7750000,train,84,37611.619047619046,0.31477442,-47.937,62.376114,299.302,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
31,31,8000000,train,73,43584.739726027394,0.31373012,-49.562183,63.101513,177.82204,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
32,32,8250000,train,63,50960.47619047619,0.31410727,-49.949757,63.82282,256.54428,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
33,33,8500000,train,69,45351.159420289856,0.3085025,-45.99387,64.536224,225.29887,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
34,34,8750000,train,68,47731.44117647059,0.30677518,-45.938343,65.26401,255.15588,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
35,35,9000000,train,65,49811.70769230769,0.30434206,-46.725113,65.997955,331.18427,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
36,36,9250000,train,60,53508.36666666667,0.3030716,-49.761417,66.72587,275.50806,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
37,37,9500000,train,60,55311.75,0.30302793,-50.06313,67.47806,316.6499,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
38,38,9750000,train,66,50330.333333333336,0.29844177,-49.328487,68.22442,302.894,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
39,39,10000000,train,66,48593.530303030304,0.29896596,-48.76137,68.97568,202.30429,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
40,40,10250000,train,70,46764.44285714286,0.297335,-53.480244,69.72542,255.86105,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
41,41,10500000,train,67,47785.97014925373,0.2897131,-50.596638,70.45241,404.6659,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
42,42,10750000,train,72,45687.40277777778,0.2918318,-48.96061,71.1843,394.13348,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
43,43,11000000,train,67,48260.77611940299,0.2904936,-48.822323,71.89973,270.6448,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
44,44,11250000,train,65,48628.553846153845,0.28481898,-50.859386,72.59532,367.5414,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
45,45,11500000,train,67,48514.50746268657,0.28179517,-52.00518,73.281555,362.71686,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
46,46,11750000,train,63,51092.04761904762,0.27763382,-51.251877,73.967415,337.24136,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
47,47,12000000,train,63,52174.31746031746,0.2784282,-49.620445,74.67399,296.37018,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
48,48,12250000,train,61,52129.852459016394,0.27710873,-48.69118,75.35898,306.4391,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
49,49,12500000,train,64,51044.484375,0.27717122,-60.87329,76.02887,251.4695,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
50,50,12750000,train,68,47716.279411764706,0.27416882,-62.711018,76.68845,326.18762,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
51,51,13000000,train,63,50765.74603174603,0.26992977,-60.299755,77.3462,262.47778,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
52,52,13250000,train,57,58246.80701754386,0.26769772,-55.922726,78.02208,233.29689,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
53,53,13500000,train,62,52617.75806451613,0.26675346,-48.906864,78.68923,318.8902,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
54,54,13750000,train,64,50920.46875,0.26700822,-48.04895,79.35807,287.70825,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
55,55,14000000,train,62,54120.27419354839,0.2609823,-47.204514,80.01144,311.7369,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
56,56,14250000,train,62,52879.17741935484,0.2590919,-46.874344,80.67902,333.84552,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
57,57,14500000,train,62,51874.403225806454,0.2578125,-48.198864,81.33061,405.49908,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
58,58,14750000,train,60,53548.083333333336,0.2571172,-57.710842,81.9812,319.4078,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
59,59,15000000,train,61,54695.50819672131,0.2546604,-56.99754,82.60529,350.667,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
60,60,15250000,train,62,53791.33870967742,0.25126562,-54.843525,83.23277,298.10904,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
61,61,15500000,train,58,56901.89655172414,0.25485963,-56.49295,83.847946,567.35394,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
62,62,15750000,train,61,53137.91803278688,0.25368515,-60.68539,84.45337,393.3075,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
63,63,16000000,train,56,58823.732142857145,0.25131348,-65.648384,85.06292,485.94287,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
64,64,16250000,train,57,59228.59649122807,0.25290287,-63.36869,85.67949,426.8179,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
65,65,16500000,train,57,59218.89473684211,0.24609831,-65.64872,86.289185,354.77158,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
66,66,16750000,train,54,61409.53703703704,0.24586743,-65.97113,86.90461,244.3221,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
67,67,17000000,train,54,63046.59259259259,0.25360286,-73.55013,87.519684,403.3901,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
68,68,17250000,train,54,62295.01851851852,0.24730591,-67.000015,88.14223,320.4412,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
69,69,17500000,train,49,67370.0,0.24384457,-69.405876,88.7527,608.71625,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
70,70,17750000,train,60,55867.78333333333,0.24139038,-78.36255,89.34244,274.43472,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
71,71,18000000,train,53,63649.981132075474,0.24516012,-76.32462,89.94256,287.413,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
72,72,18250000,train,60,56198.6,0.24442282,-72.69445,90.530014,349.98285,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
73,73,18500000,train,52,62653.269230769234,0.24261995,-78.70698,91.102776,318.98233,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
74,74,18750000,train,46,72385.45652173914,0.23700748,-79.64243,91.665985,354.79,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
75,75,19000000,train,52,64627.13461538462,0.2368274,-83.69908,92.21857,343.44492,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
76,76,19250000,train,58,58405.620689655174,0.23789142,-86.53271,92.78472,289.25034,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
77,77,19500000,train,54,61674.31481481482,0.23588786,-86.05654,93.33744,329.185,ACN,T3,centipede,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
