,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,15,600.0,0.007791458163410425,-22.387819290161133,22.453426361083984,7.847579002380371,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,25,508.0,0.007227850146591663,-10.631741523742676,17.905963897705078,4.579991817474365,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,20,510.0,0.008571963757276535,-9.077134132385254,16.146522521972656,5.651004791259766,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,24,620.8333333333334,0.008419683203101158,-7.394713401794434,14.401449203491211,7.6677565574646,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,21,614.2857142857143,0.008668477647006512,-6.296657562255859,13.132761001586914,8.58914852142334,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,21,542.8571428571429,0.008663823828101158,-5.185988426208496,11.781689643859863,10.388175010681152,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,12,366.6666666666667,0.00830069463700056,-4.258410453796387,10.915534019470215,10.244751930236816,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,19,547.3684210526316,0.007932721637189388,-3.28468656539917,9.212311744689941,9.494569778442383,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,19,531.578947368421,0.0068229930475354195,-2.5713021755218506,7.9777984619140625,9.123997688293457,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,26,588.4615384615385,0.007593256421387196,-1.9682121276855469,6.732228755950928,7.6529645919799805,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,19,578.9473684210526,0.007631421089172363,-1.6246905326843262,5.835847854614258,7.8629560470581055,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,19,600.0,0.008663959801197052,-1.2605150938034058,4.999154567718506,7.300466537475586,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,19,784.2105263157895,0.008635515347123146,-1.0226343870162964,4.3261590003967285,7.0508952140808105,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,22,668.1818181818181,0.008393674157559872,-0.7874307632446289,3.69631290435791,5.887411117553711,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
14,14,3750000,train,22,604.5454545454545,0.008251470513641834,-0.6601654887199402,3.184938907623291,6.117517948150635,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
15,15,4000000,train,35,594.2857142857143,0.009486112743616104,-0.5067399144172668,2.7599854469299316,6.127687454223633,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
16,16,4250000,train,28,625.0,0.010784829966723919,-0.5138130784034729,2.4259843826293945,6.272697925567627,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
17,17,4500000,train,27,603.7037037037037,0.011146863922476768,-0.39476102590560913,2.143486261367798,6.1636176109313965,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
18,18,4750000,train,21,500.0,0.011036737821996212,-0.5197742581367493,2.75773286819458,5.758312702178955,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
19,19,5000000,train,21,566.6666666666666,0.010525427758693695,-4.062154293060303,20.63614845275879,7.585000991821289,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
20,20,5250000,train,35,608.5714285714286,0.011668750084936619,-8.295426368713379,26.986772537231445,7.773959636688232,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
21,21,5500000,train,15,700.0,0.011462338268756866,-8.411331176757812,27.729759216308594,8.702567100524902,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
22,22,5750000,train,21,547.6190476190476,0.010244420729577541,-6.90871000289917,25.415481567382812,10.285706520080566,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
23,23,6000000,train,17,576.4705882352941,0.009782036766409874,-5.773166179656982,23.923036575317383,10.830171585083008,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
24,24,6250000,train,15,553.3333333333334,0.008019132539629936,-5.840236663818359,21.50349235534668,16.117773056030273,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
25,25,6500000,train,16,512.5,0.006874675862491131,-4.286288261413574,21.60025978088379,15.63502025604248,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
26,26,6750000,train,21,638.0952380952381,0.006320207845419645,-4.03351354598999,21.726987838745117,13.843231201171875,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
27,27,7000000,train,10,660.0,0.00671748211607337,-3.883535623550415,22.063037872314453,15.636785507202148,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
28,28,7250000,train,10,550.0,0.005657128989696503,-3.9006125926971436,23.53408432006836,10.0126314163208,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
29,29,7500000,train,15,640.0,0.006399157457053661,-4.321491718292236,23.85614776611328,12.425304412841797,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
30,30,7750000,train,17,494.11764705882354,0.006367376074194908,-4.665933609008789,26.114383697509766,15.001922607421875,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
31,31,8000000,train,12,391.6666666666667,0.006011320278048515,-5.033042907714844,28.316347122192383,15.112792015075684,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
32,32,8250000,train,30,443.3333333333333,0.006342408712953329,-5.337150573730469,29.55660629272461,18.800148010253906,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
33,33,8500000,train,20,240.0,0.006992069073021412,-5.303586483001709,29.669294357299805,12.63319206237793,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
34,34,8750000,train,20,300.0,0.00720583600923419,-4.972214698791504,28.89185905456543,17.105371475219727,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
35,35,9000000,train,17,329.4117647058824,0.007210850715637207,-4.387105941772461,28.21533966064453,18.86791229248047,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
36,36,9250000,train,12,291.6666666666667,0.007935382425785065,-4.0885233879089355,28.149635314941406,29.882129669189453,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
37,37,9500000,train,21,342.85714285714283,0.006724549923092127,-3.9190549850463867,27.548786163330078,23.642751693725586,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
38,38,9750000,train,27,400.0,0.006935459561645985,-3.202615261077881,26.24911880493164,24.891117095947266,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
39,39,10000000,train,16,300.0,0.006513923406600952,-2.2384719848632812,20.449806213378906,30.273244857788086,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
40,40,10250000,train,25,420.0,0.006033971905708313,-1.730345606803894,18.678543090820312,22.819639205932617,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
41,41,10500000,train,36,316.6666666666667,0.007374692242592573,-1.2200769186019897,15.792333602905273,25.722625732421875,ACN,T3,choppercommand,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
