,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,88,13568.181818181818,0.11885427683591843,-34.73887252807617,49.92353057861328,44.039344787597656,ACN,T2,crazyclimber,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,73,40046.57534246575,0.16564923524856567,-35.54436492919922,50.87358856201172,35.57123947143555,ACN,T2,crazyclimber,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,67,70583.58208955223,0.3087567985057831,-39.05000686645508,52.40984344482422,41.41914367675781,ACN,T2,crazyclimber,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,64,86934.375,0.3894389569759369,-38.466880798339844,54.103759765625,44.39002227783203,ACN,T2,crazyclimber,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,62,92970.96774193548,0.47092750668525696,-38.43505096435547,55.983272552490234,62.1783447265625,ACN,T2,crazyclimber,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,60,102463.33333333333,0.5574131011962891,-38.208587646484375,58.01167297363281,58.92283248901367,ACN,T2,crazyclimber,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,55,107854.54545454546,0.5811971426010132,-38.559139251708984,60.09385299682617,62.433162689208984,ACN,T2,crazyclimber,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,63,100828.57142857143,0.5804997682571411,-40.404014587402344,62.22089767456055,87.81596374511719,ACN,T2,crazyclimber,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,52,103071.15384615384,0.5614320039749146,-37.626991271972656,64.35440826416016,99.78229522705078,ACN,T2,crazyclimber,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,56,106719.64285714286,0.5321154594421387,-37.10607147216797,66.47642517089844,124.11943054199219,ACN,T2,crazyclimber,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
