,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,292,142.3972602739726,0.04210204631090164,-43.369842529296875,46.398624420166016,63.21753692626953,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,195,268.3076923076923,0.021503180265426636,-9.593111038208008,20.931148529052734,10.190664291381836,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,97,1027.2680412371135,0.026462703943252563,-8.470635414123535,19.991289138793945,72.35224914550781,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,60,3148.25,0.030601084232330322,-7.856391906738281,26.749759674072266,17.496532440185547,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,51,4705.686274509804,0.03416265547275543,-8.434540748596191,38.912418365478516,48.47134017944336,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,54,4547.222222222223,0.03953177481889725,-9.18038558959961,38.043792724609375,29.629714965820312,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,52,5570.192307692308,0.043488506227731705,-16.355937957763672,49.36713409423828,47.28468704223633,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,55,5629.181818181818,0.05116031691431999,-9.495556831359863,43.13789749145508,33.79854965209961,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,48,6665.208333333333,0.05439159274101257,-10.134713172912598,45.11417770385742,40.24839782714844,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,44,7510.454545454545,0.05958084389567375,-11.372660636901855,46.23727798461914,49.42892837524414,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,34,10611.617647058823,0.0629081279039383,-13.654217720031738,48.12972640991211,60.97665023803711,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,27,15779.62962962963,0.06207845360040665,-13.752687454223633,48.51258087158203,54.22615051269531,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,35,11238.285714285714,0.061140481382608414,-13.289570808410645,48.80493927001953,51.692256927490234,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,29,13466.551724137931,0.06233717128634453,-16.659013748168945,49.045597076416016,65.2405776977539,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
14,14,3750000,train,30,14407.5,0.06211164966225624,-17.537893295288086,49.29803466796875,128.7603759765625,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
15,15,4000000,train,35,12309.57142857143,0.06162988767027855,-17.950239181518555,49.19313430786133,55.85797119140625,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
16,16,4250000,train,31,14520.645161290322,0.0634063184261322,-18.23491668701172,49.1810417175293,53.02299499511719,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
17,17,4500000,train,26,19038.26923076923,0.06549349427223206,-18.85801124572754,49.525169372558594,63.72697448730469,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
18,18,4750000,train,31,13522.09677419355,0.06461018323898315,-17.458627700805664,49.58684158325195,90.2104721069336,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
19,19,5000000,train,20,26704.5,0.06802275776863098,-18.72964859008789,49.666568756103516,57.775333404541016,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
20,20,5250000,train,22,23555.454545454544,0.0664658471941948,-19.91010093688965,49.6988525390625,60.98768615722656,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
21,21,5500000,train,22,23406.363636363636,0.06673409044742584,-18.038515090942383,49.70448303222656,62.203826904296875,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
22,22,5750000,train,28,18624.821428571428,0.06641322374343872,-16.67030906677246,49.80530548095703,66.87590789794922,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
23,23,6000000,train,26,18907.30769230769,0.06665775924921036,-15.692636489868164,49.75928497314453,61.9773063659668,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
24,24,6250000,train,25,22762.6,0.06647432595491409,-14.69167709350586,49.76591873168945,59.933658599853516,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
25,25,6500000,train,28,17770.0,0.06654449552297592,-12.016440391540527,49.760704040527344,49.36149215698242,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
26,26,6750000,train,22,24647.045454545456,0.0677952691912651,-12.84670639038086,49.7542724609375,57.94394302368164,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
27,27,7000000,train,28,17645.714285714286,0.0668158233165741,-11.277156829833984,49.76610565185547,59.69207763671875,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
28,28,7250000,train,17,37599.117647058825,0.06830431520938873,-11.440519332885742,49.74971008300781,56.34733963012695,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
29,29,7500000,train,16,35447.1875,0.06720989942550659,-9.918736457824707,49.70753860473633,64.07485961914062,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
30,30,7750000,train,23,26583.91304347826,0.0676548182964325,-10.609681129455566,49.779598236083984,63.75349426269531,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
31,31,8000000,train,25,22376.0,0.0693371370434761,-12.31165599822998,49.81208801269531,59.50621032714844,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
32,32,8250000,train,25,24708.4,0.06798012554645538,-11.684211730957031,49.82583236694336,80.69126892089844,ACN,T3,demonattack,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
