,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,128,-19.265625,0.00433356361463666,-21.531463623046875,21.560379028320312,5.274106502532959,ACN,T3,doubledunk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,115,-22.08695652173913,0.001774629927240312,-6.772508144378662,14.951309204101562,0.5865439176559448,ACN,T3,doubledunk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,109,-22.40366972477064,0.0015037435805425048,-5.427988052368164,12.582331657409668,0.5297707915306091,ACN,T3,doubledunk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,104,-22.76923076923077,0.001379314693622291,-4.319591522216797,10.534555435180664,0.4905032813549042,ACN,T3,doubledunk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,88,-22.636363636363637,0.0013101111399009824,-3.368924379348755,8.89139461517334,0.4317778944969177,ACN,T3,doubledunk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,86,-22.46511627906977,0.001341991126537323,-2.6881368160247803,7.442673683166504,0.4012930691242218,ACN,T3,doubledunk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,80,-22.975,0.0014965339796617627,-2.1493210792541504,6.179497718811035,0.44518670439720154,ACN,T3,doubledunk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,87,-23.333333333333332,0.001669662306085229,-1.6978425979614258,5.086426258087158,0.4020618200302124,ACN,T3,doubledunk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,93,-23.419354838709676,0.0020438332576304674,-1.357023000717163,4.171079158782959,0.3884652554988861,ACN,T3,doubledunk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,102,-23.254901960784313,0.0026730129029601812,-1.0130196809768677,3.4122581481933594,0.7612099051475525,ACN,T3,doubledunk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,94,-22.595744680851062,0.0030638440512120724,-1.8528482913970947,2.855410575866699,0.7054115533828735,ACN,T3,doubledunk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,86,-22.348837209302324,0.0031014380510896444,-2.556549310684204,2.5564653873443604,1.4186574220657349,ACN,T3,doubledunk,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
