,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,75,0.10666666666666667,0.010394363664090633,-39.22859191894531,39.4581413269043,32.65795135498047,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,75,1.6133333333333333,0.0066254460252821445,-24.843151092529297,34.58665466308594,5.329553604125977,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,75,3.453333333333333,0.006919339299201965,-20.807435989379883,30.535037994384766,5.610067367553711,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,75,5.4,0.007680295966565609,-18.03334617614746,27.809459686279297,5.912508487701416,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,75,15.386666666666667,0.00875691045075655,-14.442632675170898,25.44252586364746,5.540050506591797,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,75,63.093333333333334,0.009756946004927158,-10.989910125732422,21.858901977539062,6.836386680603027,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,75,109.78666666666666,0.010010026395320892,-9.325116157531738,20.259828567504883,7.706770420074463,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,61,184.45901639344262,0.010926218703389168,-7.445132732391357,18.97357749938965,11.95663833618164,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,48,283.7916666666667,0.01106055174022913,-6.243823528289795,18.584569931030273,10.610519409179688,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,40,382.15,0.012077488005161285,-5.836999893188477,17.336252212524414,9.37913990020752,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,37,441.72972972972974,0.01147580798715353,-5.164982318878174,16.49870491027832,13.987064361572266,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,33,502.6060606060606,0.010090525262057781,-5.0571088790893555,15.256877899169922,11.538728713989258,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,34,497.9117647058824,0.009436065331101418,-7.098957061767578,14.541380882263184,10.705812454223633,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,31,566.5483870967741,0.009698319248855114,-5.959261894226074,14.736369132995605,13.963050842285156,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
14,14,3750000,train,27,668.8148148148148,0.010377521626651287,-5.986896514892578,14.509191513061523,9.347949981689453,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
15,15,4000000,train,26,708.2307692307693,0.010239538736641407,-5.710939884185791,15.381446838378906,13.48664379119873,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
16,16,4250000,train,23,799.6521739130435,0.010404960252344608,-5.964393138885498,14.926854133605957,9.187572479248047,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
17,17,4500000,train,25,742.6,0.01088198833167553,-6.136313438415527,16.011341094970703,13.139741897583008,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
18,18,4750000,train,22,871.5454545454545,0.011307543143630028,-6.899044990539551,15.37570571899414,13.792184829711914,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
19,19,5000000,train,19,997.6842105263158,0.01045350544154644,-6.8564252853393555,15.438671112060547,15.838553428649902,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
20,20,5250000,train,22,875.7272727272727,0.009502669796347618,-5.357747554779053,14.441976547241211,9.55113410949707,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
21,21,5500000,train,22,877.0454545454545,0.009282647632062435,-6.185448169708252,15.079230308532715,11.087407112121582,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
22,22,5750000,train,21,894.2857142857143,0.008934552781283855,-5.8423848152160645,15.765233039855957,14.236352920532227,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
23,23,6000000,train,21,932.1904761904761,0.008491668850183487,-5.783679485321045,14.39554500579834,11.067821502685547,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
24,24,6250000,train,24,820.2083333333334,0.00878208689391613,-5.653294563293457,13.159330368041992,5.63206672668457,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
25,25,6500000,train,21,914.7142857142857,0.008372021839022636,-5.462973117828369,13.190443992614746,7.77785062789917,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
26,26,6750000,train,23,856.5652173913044,0.008793924003839493,-6.137783527374268,12.491860389709473,6.2208685874938965,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
27,27,7000000,train,20,980.7,0.008785954676568508,-6.179099082946777,12.181209564208984,6.271245002746582,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
28,28,7250000,train,20,936.1,0.008293635211884975,-6.095169544219971,11.027592658996582,6.408019065856934,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
29,29,7500000,train,20,965.15,0.008600124157965183,-6.334986686706543,11.036764144897461,7.8044562339782715,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
30,30,7750000,train,18,1108.9444444444443,0.00912498589605093,-6.564883232116699,10.942262649536133,8.0266752243042,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
31,31,8000000,train,18,1098.9444444444443,0.009242037311196327,-7.221067905426025,11.009074211120605,8.208484649658203,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
32,32,8250000,train,19,1080.157894736842,0.009028627537190914,-7.06599760055542,10.942163467407227,7.572330474853516,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
33,33,8500000,train,17,1133.235294117647,0.00847822055220604,-6.352200984954834,10.51510238647461,6.185768127441406,ACN,T2,enduro,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
