,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,133,-90.89473684210526,0.005680678877979517,-16.528213500976562,15.61443042755127,6.567180633544922,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,133,-89.84210526315789,0.003556574461981654,-6.7918219566345215,11.700743675231934,1.2698261737823486,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,134,-90.92537313432835,0.005226888693869114,-6.350125789642334,10.492283821105957,1.9648879766464233,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,134,-91.73134328358209,0.005740638356655836,-5.675457000732422,9.203179359436035,1.7451997995376587,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,135,-91.92592592592592,0.00504503957927227,-4.889705181121826,7.936194896697998,1.3264455795288086,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,136,-90.91176470588235,0.005071910098195076,-4.839321136474609,7.1120195388793945,1.2591402530670166,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,136,-90.04411764705883,0.005494340788573027,-4.742219924926758,6.630959510803223,1.4036544561386108,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,136,-91.45588235294117,0.0061972239054739475,-4.771312713623047,5.834874629974365,1.3578417301177979,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,136,-89.80147058823529,0.006709323264658451,-4.6134138107299805,5.455600738525391,1.8018587827682495,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,136,-88.76470588235294,0.0071260337717831135,-4.682728290557861,6.050924301147461,1.5844734907150269,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,136,-88.28676470588235,0.007526571396738291,-4.556074619293213,6.325843334197998,2.351149082183838,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,135,-86.82222222222222,0.007635526359081268,-4.536851406097412,6.9760284423828125,1.7096141576766968,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,137,-85.27737226277372,0.007424524053931236,-4.595149040222168,7.247241020202637,1.5264185667037964,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,135,-82.71111111111111,0.0073579540476202965,-4.59266996383667,8.321952819824219,1.5720546245574951,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
14,14,3750000,train,136,-81.38235294117646,0.007710726000368595,-4.548948764801025,8.90813159942627,1.8261945247650146,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
15,15,4000000,train,135,-75.72592592592592,0.008220088668167591,-4.628414154052734,9.23620319366455,1.9923453330993652,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
16,16,4250000,train,136,-69.94852941176471,0.008326527662575245,-4.740900039672852,9.520881652832031,1.6783274412155151,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
17,17,4500000,train,133,-59.578947368421055,0.008563054725527763,-4.781550407409668,10.294986724853516,1.888745665550232,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
18,18,4750000,train,133,-49.473684210526315,0.009058601222932339,-4.714780807495117,10.63502311706543,1.7637380361557007,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
19,19,5000000,train,136,-37.8014705882353,0.0095920255407691,-4.78371000289917,11.845065116882324,1.9939913749694824,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
20,20,5250000,train,135,-25.244444444444444,0.00978355947881937,-4.787377834320068,12.081730842590332,1.8814078569412231,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
21,21,5500000,train,144,-6.208333333333333,0.009601051919162273,-4.7490997314453125,9.444674491882324,2.0650722980499268,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
22,22,5750000,train,148,-1.2094594594594594,0.009516804479062557,-4.811527252197266,8.863014221191406,1.9105626344680786,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
23,23,6000000,train,149,-0.14093959731543623,0.010608813725411892,-4.809728145599365,8.242532730102539,2.0830652713775635,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
24,24,6250000,train,147,-4.775510204081633,0.009950146079063416,-4.826005935668945,7.821241855621338,1.9281940460205078,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
25,25,6500000,train,154,4.090909090909091,0.008695044554769993,-4.758317947387695,7.604302406311035,1.7976120710372925,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
26,26,6750000,train,152,4.4605263157894735,0.00867003295570612,-4.757213115692139,7.16329288482666,1.600138783454895,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
27,27,7000000,train,153,4.830065359477124,0.008901356719434261,-4.705448150634766,7.335622787475586,1.880139946937561,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
28,28,7250000,train,159,5.761006289308176,0.008337491191923618,-4.85186243057251,7.201295852661133,1.7493966817855835,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
29,29,7500000,train,160,10.2875,0.007916554808616638,-4.825582981109619,7.064580917358398,1.8210740089416504,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
30,30,7750000,train,154,1.5584415584415585,0.007915825583040714,-4.928529262542725,7.243677139282227,2.018584966659546,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
31,31,8000000,train,157,9.67515923566879,0.007907385937869549,-4.777859687805176,7.094278335571289,1.8030071258544922,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
32,32,8250000,train,155,10.025806451612903,0.00791090540587902,-4.978930950164795,7.245017051696777,2.1029624938964844,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
33,33,8500000,train,158,9.924050632911392,0.0075836447067558765,-5.457658767700195,7.547392845153809,1.6973648071289062,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
34,34,8750000,train,162,15.987654320987655,0.007024318911135197,-5.040801525115967,7.281527519226074,1.618754506111145,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
35,35,9000000,train,157,11.547770700636942,0.006761221215128899,-4.961775779724121,7.357534408569336,1.6645063161849976,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
36,36,9250000,train,165,17.278787878787877,0.006538056302815676,-4.813868045806885,7.1476335525512695,1.4505815505981445,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
37,37,9500000,train,157,11.89171974522293,0.006301172077655792,-4.649156093597412,7.134796619415283,1.5797128677368164,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
38,38,9750000,train,156,9.833333333333334,0.006508474238216877,-4.67940092086792,7.0951714515686035,1.4798856973648071,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
39,39,10000000,train,161,14.142857142857142,0.007274705450981855,-4.956657409667969,7.379098415374756,1.5101451873779297,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
40,40,10250000,train,161,12.84472049689441,0.007354896981269121,-4.925683975219727,7.498138427734375,1.5219343900680542,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
41,41,10500000,train,157,11.573248407643312,0.00678920978680253,-4.960503101348877,7.220541477203369,1.4993659257888794,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
42,42,10750000,train,158,14.987341772151899,0.006574631668627262,-4.836314678192139,6.882000923156738,1.4950158596038818,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
43,43,11000000,train,161,14.701863354037267,0.0068123834207654,-4.76397180557251,6.872075080871582,1.6345407962799072,ACN,T2,fishingderby,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
