,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,122,0.1885245901639344,0.0019193851621821523,-19.58936882019043,18.725677490234375,12.317512512207031,ACN,T3,freeway,3,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,122,1.6967213114754098,0.000912634888663888,-9.037474632263184,10.54457950592041,0.8242073655128479,ACN,T3,freeway,3,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,122,4.622950819672131,0.0007063921075314283,-7.3789167404174805,8.80630874633789,0.5460805892944336,ACN,T3,freeway,3,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,122,10.245901639344263,0.0005634246626868844,-5.970965385437012,7.336188316345215,0.490140438079834,ACN,T3,freeway,3,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,122,18.672131147540984,0.0006230116705410182,-4.905317783355713,6.049432754516602,0.4013496935367584,ACN,T3,freeway,3,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,122,22.598360655737704,0.0008562779403291643,-3.9831135272979736,4.955357551574707,0.4193754196166992,ACN,T3,freeway,3,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,122,22.918032786885245,0.001244812272489071,-3.2884914875030518,4.0833892822265625,0.6204684376716614,ACN,T3,freeway,3,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,122,17.10655737704918,0.0014552765060216188,-2.6372053623199463,3.3057336807250977,0.7777693867683411,ACN,T3,freeway,3,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,122,6.262295081967213,0.0013209395110607147,-2.4543936252593994,3.181523084640503,0.9514779448509216,ACN,T3,freeway,3,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,122,22.34426229508197,0.0012008289340883493,-2.137308359146118,2.986011028289795,0.9133202433586121,ACN,T3,freeway,3,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
