,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,579,112.50431778929189,0.040659968,-15.28494,21.782242,10.0257225,ACN,T1,frostbite,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,462,270.2164502164502,0.041845154,-4.529646,26.39848,8.319252,ACN,T1,frostbite,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,409,330.2444987775061,0.044639397,-5.067548,39.672974,11.440431,ACN,T1,frostbite,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,342,461.2280701754386,0.043868102,-5.9901543,47.256336,15.0927515,ACN,T1,frostbite,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,313,533.0670926517572,0.04502744,-5.8574557,49.709892,16.159624,ACN,T1,frostbite,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,307,549.1530944625407,0.045755286,-7.9508276,50.235596,23.174969,ACN,T1,frostbite,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,279,636.3082437275986,0.048478577,-6.250774,50.557392,24.762438,ACN,T1,frostbite,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,242,824.4628099173553,0.05677338,-6.364279,50.870354,27.97777,ACN,T1,frostbite,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,226,963.8495575221239,0.06554997,-6.543235,51.319004,34.74973,ACN,T1,frostbite,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,244,932.5,0.070913315,-7.621067,51.93708,33.29978,ACN,T1,frostbite,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,216,1167.1759259259259,0.075563036,-7.880874,52.404587,39.210518,ACN,T1,frostbite,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,253,1111.7391304347825,0.08035061,-8.770534,52.863297,39.41852,ACN,T1,frostbite,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,241,1345.4771784232364,0.08378571,-8.6202545,53.40846,49.80782,ACN,T1,frostbite,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,240,1403.6666666666667,0.081919864,-9.266603,53.777386,36.78541,ACN,T1,frostbite,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
