,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,243,351.02880658436214,0.0378488,-15.171404,22.032507,25.444921,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,254,207.63779527559055,0.040295016,-10.917429,23.54848,19.059904,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,254,290.3937007874016,0.042376023,-8.978611,29.12666,18.656706,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,251,281.75298804780874,0.040355682,-8.651935,32.746178,22.37851,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,236,400.50847457627117,0.041922085,-13.057169,32.626465,19.45563,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,239,438.8284518828452,0.041843083,-11.099793,31.748653,19.920977,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,240,395.5833333333333,0.045282904,-10.901342,35.3203,30.579462,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,249,420.2409638554217,0.04851725,-12.558593,37.1071,24.030254,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,234,543.1623931623932,0.047285892,-13.695005,38.12748,26.062044,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,227,660.4405286343613,0.048797674,-13.891084,36.89898,24.834473,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,215,782.046511627907,0.050755743,-16.296183,39.513565,25.1467,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,201,884.6766169154229,0.058107994,-19.638199,39.1634,26.408485,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,199,962.713567839196,0.056868453,-21.242178,40.02464,27.858223,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,191,1091.3089005235602,0.060176518,-23.051563,41.07747,27.908836,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
14,14,3750000,train,192,1143.4375,0.061180074,-27.856693,40.959007,37.526764,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
15,15,4000000,train,179,1365.1396648044692,0.062298506,-23.315155,40.91585,29.309383,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
16,16,4250000,train,167,1531.0179640718563,0.06448928,-23.307161,42.009007,32.933838,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
17,17,4500000,train,167,1544.7904191616767,0.0639898,-24.598095,42.410244,32.320683,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
18,18,4750000,train,160,1701.25,0.063319504,-23.486189,42.55319,29.400084,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
19,19,5000000,train,144,2089.4444444444443,0.06207852,-23.500046,42.937534,29.830221,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
20,20,5250000,train,142,2286.056338028169,0.06378259,-22.950977,43.006844,39.004734,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
21,21,5500000,train,127,2751.3385826771655,0.06343633,-26.150581,43.18527,44.17191,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
22,22,5750000,train,124,3035.483870967742,0.06575871,-24.087431,44.130516,48.513416,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
23,23,6000000,train,104,3968.269230769231,0.06375376,-23.436174,45.25087,56.692272,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
24,24,6250000,train,97,4443.298969072165,0.06431689,-22.962124,45.828735,57.58661,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
25,25,6500000,train,94,4712.340425531915,0.06376606,-21.670174,45.82333,57.141003,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
26,26,6750000,train,104,4093.653846153846,0.062065378,-21.60036,46.05828,52.98062,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
27,27,7000000,train,100,4403.8,0.061409414,-21.664036,46.32237,53.277313,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
28,28,7250000,train,95,4715.368421052632,0.061323762,-23.371826,46.67259,63.915432,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
29,29,7500000,train,98,4531.836734693878,0.060271405,-24.485552,46.3647,57.12881,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
30,30,7750000,train,101,4201.782178217822,0.060161993,-21.467594,46.592907,55.43472,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
31,31,8000000,train,82,5949.512195121952,0.059472375,-21.109077,46.79789,63.60999,ACN,T2,gopher,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
