,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,74,-11.513513513513514,0.0024047305,-14.8317995,19.543226,8.569397,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,72,-14.652777777777779,0.0012308012,-7.3534937,16.52791,0.66195786,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,72,-14.402777777777779,0.0010551944,-5.7791324,14.314381,0.5783888,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,73,-14.794520547945206,0.0009875491,-4.7049603,12.499119,0.52150553,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,72,-14.51388888888889,0.0010298545,-3.7340539,10.667917,0.5292003,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,73,-14.821917808219178,0.0011219529,-3.0189288,9.066405,0.546479,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,72,-14.36111111111111,0.0012365328,-2.3772588,7.6746497,0.64821887,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,72,-14.916666666666666,0.0014399041,-1.8487648,6.446224,0.51870763,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,72,-15.152777777777779,0.0015867609,-1.4332333,5.3393493,0.5162101,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,72,-15.63888888888889,0.0017654785,-1.1020858,4.45143,0.44105968,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,71,-15.704225352112676,0.001844114,-0.82517564,3.6487124,0.358675,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,71,-16.281690140845072,0.0020241477,-0.65527624,2.9551952,0.35768065,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,72,-15.722222222222221,0.0023672043,-0.48810267,2.4027739,0.37977105,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,72,-15.75,0.0026716057,-0.361755,1.9475093,0.42826095,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
14,14,3750000,train,72,-16.125,0.0029599522,-0.27918997,1.5538096,0.525715,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
15,15,4000000,train,72,-15.555555555555555,0.0031346923,-0.17828403,1.2352022,0.49651924,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
16,16,4250000,train,72,-14.63888888888889,0.0032870679,-0.15898019,0.96297115,0.62151474,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
17,17,4500000,train,71,-16.253521126760564,0.0034924436,-0.120297246,0.80653167,0.56139135,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
18,18,4750000,train,71,-15.661971830985916,0.003616837,-0.081985615,0.7189109,0.6148818,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
19,19,5000000,train,72,-15.11111111111111,0.0037300067,-0.0835078,0.70031595,0.57565916,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
20,20,5250000,train,73,-14.424657534246576,0.0037445782,-0.07054368,0.61556435,0.55181354,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
21,21,5500000,train,71,-14.690140845070422,0.0038380842,-0.07846188,0.5621595,0.53760016,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
22,22,5750000,train,73,-12.438356164383562,0.0038271616,-0.08211323,0.5200115,0.48457018,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
23,23,6000000,train,72,-13.875,0.0039940723,-0.07546373,0.43768975,0.5221286,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
24,24,6250000,train,71,-15.225352112676056,0.0041105244,-0.0745941,0.38789335,0.4151107,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
25,25,6500000,train,72,-14.73611111111111,0.004149373,-0.0768443,0.36954194,0.3733109,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
26,26,6750000,train,72,-14.25,0.0042135273,-0.16869,0.34125173,0.27886495,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
27,27,7000000,train,72,-15.319444444444445,0.004239568,-0.5390248,0.37625098,0.37010393,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
28,28,7250000,train,72,-16.11111111111111,0.004352549,-0.8849019,0.67070556,0.5637732,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
29,29,7500000,train,72,-15.36111111111111,0.0039626257,-1.764991,0.6440073,1.2732998,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
30,30,7750000,train,74,-13.756756756756756,0.0037440849,-3.3087025,1.0586708,1.4655995,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
31,31,8000000,train,73,-13.89041095890411,0.0034791317,-3.3847005,0.95481235,1.7941532,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
32,32,8250000,train,74,-12.64864864864865,0.0032662374,-1.41306,0.62157565,1.4694966,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
33,33,8500000,train,74,-13.472972972972974,0.0030669498,-2.271838,0.83241886,1.2491136,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
34,34,8750000,train,75,-11.16,0.0030727414,-2.3699071,0.7164769,1.6696492,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
35,35,9000000,train,75,-11.906666666666666,0.003039949,-2.3267837,0.54079837,1.329688,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
36,36,9250000,train,74,-12.391891891891891,0.0030401568,-2.190566,0.5223465,1.4888924,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
37,37,9500000,train,74,-12.64864864864865,0.0030608526,-2.1164222,0.5697625,1.327094,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
38,38,9750000,train,75,-11.84,0.0029540313,-1.8429552,0.46974123,1.3171002,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
39,39,10000000,train,75,-12.12,0.0030424441,-1.9880034,0.518931,1.3223196,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
40,40,10250000,train,74,-12.675675675675675,0.0029353248,-2.0956836,0.62237954,1.2547816,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
41,41,10500000,train,75,-11.653333333333334,0.0029186446,-2.3638296,1.5632625,1.1877073,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
42,42,10750000,train,74,-12.972972972972974,0.0027850736,-2.2168038,2.790879,1.4469203,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
43,43,11000000,train,74,-11.72972972972973,0.0027011668,-2.2425249,4.145274,1.1231968,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
44,44,11250000,train,74,-11.837837837837839,0.0029013734,-2.1324089,4.2613273,1.171361,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
45,45,11500000,train,76,-11.276315789473685,0.002814487,-2.1347845,4.2912946,1.3242823,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
46,46,11750000,train,76,-10.842105263157896,0.0027835257,-2.1374362,4.2826567,1.2285132,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
47,47,12000000,train,76,-9.973684210526315,0.0026499268,-1.956058,4.5228033,1.3622097,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
48,48,12250000,train,76,-10.197368421052632,0.0026263818,-2.180816,4.585567,1.3805379,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
49,49,12500000,train,77,-8.64935064935065,0.0026287073,-2.1426053,4.9030304,1.3358401,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
50,50,12750000,train,77,-8.454545454545455,0.0026665758,-2.1529675,5.049485,1.3688371,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
51,51,13000000,train,77,-8.805194805194805,0.0026046117,-2.2949762,4.7456374,1.3353426,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
52,52,13250000,train,76,-8.868421052631579,0.002546487,-2.1626742,4.803322,1.5324044,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
53,53,13500000,train,75,-9.333333333333334,0.0025030472,-2.1390302,4.4831576,1.4370109,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
54,54,13750000,train,75,-7.826666666666667,0.0027359712,-2.067947,5.352621,2.0401387,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
55,55,14000000,train,77,-7.441558441558442,0.0027106628,-2.0890071,4.6333413,1.3879776,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
56,56,14250000,train,74,-7.581081081081081,0.0027166486,-2.4245815,4.8860826,1.7379078,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
57,57,14500000,train,74,-7.148648648648648,0.0026965674,-2.4043562,4.5875473,1.601453,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
58,58,14750000,train,76,-7.092105263157895,0.0027362483,-2.2652996,4.922119,1.711249,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
59,59,15000000,train,74,-7.108108108108108,0.0028275999,-2.2808812,5.0171647,1.485636,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
60,60,15250000,train,76,-6.315789473684211,0.0027971799,-2.324314,4.9939823,1.3709977,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
61,61,15500000,train,76,-5.776315789473684,0.0026456874,-2.1753235,4.535308,1.4188268,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
62,62,15750000,train,75,-6.16,0.0027398837,-2.2916992,4.7329903,1.4422071,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
63,63,16000000,train,75,-6.533333333333333,0.0025864623,-2.2123694,4.3884726,1.4979701,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
64,64,16250000,train,76,-6.578947368421052,0.0026339109,-2.2862048,5.129366,1.5229177,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
65,65,16500000,train,76,-6.526315789473684,0.002738657,-2.690894,5.2111006,1.6034392,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
66,66,16750000,train,76,-5.907894736842105,0.0026429715,-2.6658995,5.1154957,1.5615884,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
67,67,17000000,train,77,-5.766233766233766,0.0027277602,-2.804641,4.8768225,1.6281456,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
68,68,17250000,train,76,-5.605263157894737,0.0025880847,-2.7651143,5.2995243,1.3690342,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
69,69,17500000,train,76,-5.894736842105263,0.0026409223,-3.0407252,5.308515,1.8069768,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
70,70,17750000,train,75,-5.2,0.0026776877,-3.7830045,5.315199,1.4235268,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
71,71,18000000,train,74,-5.418918918918919,0.0026025386,-3.7082696,5.7808213,1.4200342,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
72,72,18250000,train,76,-5.131578947368421,0.0026182348,-3.489474,5.2816625,1.3353024,ACN,T1,icehockey,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
