,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,177,2644.5197740112994,0.09434352070093155,-21.691015243530273,38.40097427368164,10.375260353088379,ACN,T1,krull,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,164,1498.4146341463415,0.06948377937078476,-10.570277214050293,43.53825759887695,12.66836929321289,ACN,T1,krull,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,176,1665.1704545454545,0.06511899083852768,-7.932955265045166,45.80693817138672,12.995100975036621,ACN,T1,krull,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,179,1945.2513966480446,0.06895901262760162,-6.186977863311768,48.130374908447266,16.002099990844727,ACN,T1,krull,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,186,2042.52688172043,0.06731589138507843,-6.340620994567871,48.33939743041992,16.571468353271484,ACN,T1,krull,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,182,2160.879120879121,0.06021862477064133,-5.1179938316345215,48.39999771118164,22.04909324645996,ACN,T1,krull,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,181,2208.729281767956,0.05433693900704384,-4.405656337738037,48.48714828491211,15.614648818969727,ACN,T1,krull,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,183,2428.087431693989,0.054290518164634705,-5.079792022705078,48.3055305480957,14.744641304016113,ACN,T1,krull,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,186,2535.05376344086,0.056418415158987045,-3.645190715789795,48.526058197021484,14.378003120422363,ACN,T1,krull,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,183,2856.6120218579235,0.05825524404644966,-3.998655080795288,48.393348693847656,16.566312789916992,ACN,T1,krull,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,182,3160.4395604395604,0.0625872015953064,-3.5742404460906982,48.23350524902344,14.845817565917969,ACN,T1,krull,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
