,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,252,1192.857142857143,0.0704466849565506,-18.795490264892578,45.11620330810547,19.878829956054688,ACN,T2,kungfumaster,14,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,169,8169.2307692307695,0.14121732115745544,-18.875627517700195,49.97539520263672,43.945465087890625,ACN,T2,kungfumaster,14,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,135,11743.703703703704,0.19229435920715332,-17.857288360595703,50.34315872192383,49.01610565185547,ACN,T2,kungfumaster,14,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,121,13543.801652892562,0.17810867726802826,-22.73200798034668,51.03571701049805,59.10383987426758,ACN,T2,kungfumaster,14,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,115,16034.782608695652,0.19525794684886932,-25.246292114257812,51.896060943603516,75.5271224975586,ACN,T2,kungfumaster,14,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,111,17718.018018018018,0.20252779126167297,-24.477062225341797,52.83094787597656,44.58217239379883,ACN,T2,kungfumaster,14,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,108,19653.703703703704,0.2063838690519333,-23.472644805908203,53.78791427612305,54.03846740722656,ACN,T2,kungfumaster,14,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,103,21246.601941747573,0.21747493743896484,-26.460983276367188,54.74860382080078,46.390113830566406,ACN,T2,kungfumaster,14,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,107,20891.58878504673,0.22154401242733002,-26.80501365661621,55.72701644897461,39.02324295043945,ACN,T2,kungfumaster,14,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,112,20463.39285714286,0.22702091932296753,-30.43183135986328,56.72846603393555,59.29636764526367,ACN,T2,kungfumaster,14,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
