,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,290,0.3448275862068966,0.01792987994849682,-20.490154266357422,17.77507972717285,9.605002403259277,ACN,T1,montezumarevenge,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,9,0.0,0.008990657515823841,-7.261627674102783,14.844346046447754,1.9368523359298706,ACN,T1,montezumarevenge,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,11,9.090909090909092,0.007090092170983553,-6.980926990509033,13.92297649383545,2.5464468002319336,ACN,T1,montezumarevenge,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,10,0.0,0.006102900020778179,-5.861445426940918,12.907964706420898,2.364664316177368,ACN,T1,montezumarevenge,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,10,0.0,0.0030104564502835274,-5.8278045654296875,12.932534217834473,2.22989821434021,ACN,T1,montezumarevenge,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,9,0.0,0.0012604414951056242,-3.9805545806884766,11.58658218383789,1.468883752822876,ACN,T1,montezumarevenge,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,9,0.0,0.0007212373311631382,-3.236976385116577,11.245214462280273,1.821818232536316,ACN,T1,montezumarevenge,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,9,0.0,0.00040515148430131376,-2.4385335445404053,10.228876113891602,1.0233662128448486,ACN,T1,montezumarevenge,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,10,0.0,0.00027527264319360256,-1.9527376890182495,7.113226413726807,1.0671651363372803,ACN,T1,montezumarevenge,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,9,0.0,0.00021769231534563005,-1.5261832475662231,5.983569145202637,1.0966331958770752,ACN,T1,montezumarevenge,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
