,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,448,462.92410714285717,0.050513848662376404,-15.84500789642334,19.988937377929688,14.609053611755371,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,410,780.9512195121952,0.06966447830200195,-17.089750289916992,31.217424392700195,30.32194709777832,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,382,863.2460732984293,0.07324311882257462,-17.45931053161621,40.18125915527344,76.00289154052734,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,353,995.7790368271955,0.08322393149137497,-26.106365203857422,46.6368408203125,82.78754425048828,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,327,1055.8103975535169,0.0925263985991478,-33.20806121826172,48.8343391418457,69.54609680175781,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,326,1147.638036809816,0.08676711469888687,-33.06879806518555,49.15535354614258,91.13521575927734,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,319,1277.9937304075236,0.07854945212602615,-34.917884826660156,49.32662582397461,84.16627502441406,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,307,1343.0944625407167,0.08182846754789352,-21.330734252929688,49.49589157104492,95.26972961425781,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,303,1453.927392739274,0.08848453313112259,-20.562467575073242,49.69026184082031,66.68578338623047,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,297,1490.7407407407406,0.09359654039144516,-20.357585906982422,49.68597412109375,59.81391143798828,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,293,1555.4607508532424,0.09167508780956268,-20.705671310424805,49.600746154785156,163.6613006591797,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,293,1820.9897610921503,0.08298873156309128,-22.59564781188965,49.51640319824219,78.41423034667969,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,291,1869.3470790378008,0.08351067453622818,-22.50367546081543,49.663326263427734,46.52806854248047,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,292,1905.6849315068494,0.08436419069766998,-23.961435317993164,49.752052307128906,54.14155960083008,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
14,14,3750000,train,282,1996.5248226950355,0.0962025374174118,-25.30368995666504,49.8416862487793,62.71292495727539,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
15,15,4000000,train,284,2183.4859154929577,0.09003303945064545,-26.343124389648438,49.930397033691406,60.017669677734375,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
16,16,4250000,train,282,2246.241134751773,0.0943128690123558,-26.310232162475586,50.04243850708008,63.827880859375,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
17,17,4500000,train,278,2342.05035971223,0.09827782958745956,-26.721712112426758,50.145774841308594,71.71556854248047,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
18,18,4750000,train,279,2365.483870967742,0.1010994240641594,-27.411190032958984,50.28264236450195,72.30667114257812,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
19,19,5000000,train,272,2330.073529411765,0.09254138916730881,-26.702064514160156,50.460723876953125,58.87678146362305,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
20,20,5250000,train,270,2366.4444444444443,0.09467928856611252,-25.605289459228516,50.64364242553711,74.40621948242188,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
21,21,5500000,train,269,2426.059479553903,0.09483847767114639,-24.562747955322266,50.83325958251953,68.27925872802734,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
22,22,5750000,train,275,2460.6181818181817,0.0916411280632019,-25.038341522216797,51.020809173583984,77.64473724365234,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
23,23,6000000,train,268,2471.007462686567,0.09610623866319656,-26.063825607299805,51.208282470703125,69.79300689697266,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
24,24,6250000,train,269,2452.527881040892,0.09460499882698059,-25.934513092041016,51.404052734375,59.38401794433594,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
25,25,6500000,train,268,2501.3432835820895,0.09907153993844986,-26.988082885742188,51.589988708496094,74.02177429199219,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
26,26,6750000,train,265,2664.0754716981132,0.09594597667455673,-28.948453903198242,51.779232025146484,68.28570556640625,ACN,T2,mspacman,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
