,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,100,2210.2,0.08499947190284729,-14.013123512268066,16.74592399597168,8.677573204040527,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,118,1662.6271186440679,0.07045891135931015,-8.80679702758789,15.766744613647461,11.3463134765625,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,110,1942.7272727272727,0.08017104864120483,-7.606508731842041,14.949068069458008,16.832937240600586,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,111,1901.3513513513512,0.09415416419506073,-6.21830415725708,13.643913269042969,19.610008239746094,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,98,1953.7755102040817,0.10195600241422653,-5.922201156616211,19.460153579711914,20.5059871673584,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,96,2300.9375,0.07887976616621017,-8.12778377532959,18.808591842651367,12.890583992004395,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,89,2553.820224719101,0.07476940751075745,-7.374570846557617,29.831260681152344,10.76083755493164,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,89,2589.550561797753,0.057539667934179306,-8.578451156616211,38.674530029296875,13.769227027893066,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,85,2791.8823529411766,0.052154406905174255,-8.16743278503418,39.77265548706055,11.315267562866211,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,85,2882.705882352941,0.05181346833705902,-11.799527168273926,38.905460357666016,11.173406600952148,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,80,3235.25,0.05575299263000488,-11.161896705627441,37.571903228759766,14.080216407775879,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,83,3026.867469879518,0.05724429711699486,-10.422444343566895,34.58066177368164,13.393280029296875,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,79,3497.3417721518986,0.06376548856496811,-10.625287055969238,31.90066909790039,14.264082908630371,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,78,3620.0,0.05717025697231293,-13.006897926330566,33.8524169921875,11.171534538269043,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
14,14,3750000,train,71,4176.338028169014,0.056755971163511276,-13.484798431396484,30.102519989013672,11.014881134033203,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
15,15,4000000,train,71,4409.295774647887,0.06371146440505981,-11.586631774902344,32.05944061279297,9.840787887573242,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
16,16,4250000,train,73,4075.3424657534247,0.06914881616830826,-11.743952751159668,32.39673614501953,9.183332443237305,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
17,17,4500000,train,73,4176.986301369863,0.07104560732841492,-12.893621444702148,32.07804489135742,10.366256713867188,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
18,18,4750000,train,75,4346.533333333334,0.059134796261787415,-20.750709533691406,34.02547836303711,10.366046905517578,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
19,19,5000000,train,70,4770.142857142857,0.04986167699098587,-18.991291046142578,35.203575134277344,10.434311866760254,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
20,20,5250000,train,68,5316.764705882353,0.04975400120019913,-22.552217483520508,35.769798278808594,12.165461540222168,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
21,21,5500000,train,66,5567.272727272727,0.051317907869815826,-23.34218406677246,35.9359130859375,13.131891250610352,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
22,22,5750000,train,66,5666.969696969697,0.05066215991973877,-20.83234405517578,37.386775970458984,13.295744895935059,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
23,23,6000000,train,68,5653.382352941177,0.05117756128311157,-18.322490692138672,37.14350128173828,12.357810974121094,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
24,24,6250000,train,69,5446.666666666667,0.05055893212556839,-19.812517166137695,38.809539794921875,15.260491371154785,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
25,25,6500000,train,73,5305.342465753424,0.04856739938259125,-20.839689254760742,38.452545166015625,18.168197631835938,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
26,26,6750000,train,70,5569.714285714285,0.0479910783469677,-20.718124389648438,38.82035827636719,15.669684410095215,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
27,27,7000000,train,74,5118.648648648648,0.04685962200164795,-23.181291580200195,39.04576873779297,17.84468650817871,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
28,28,7250000,train,72,5605.833333333333,0.045968592166900635,-23.078458786010742,39.38179397583008,38.0377082824707,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
29,29,7500000,train,74,5486.756756756757,0.04403459653258324,-23.8230037689209,39.38130569458008,21.057340621948242,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
30,30,7750000,train,72,5570.972222222223,0.0443326011300087,-29.10515594482422,39.46316909790039,19.737445831298828,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
31,31,8000000,train,71,5745.915492957746,0.044451601803302765,-33.58281326293945,40.5230827331543,16.75316047668457,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
32,32,8250000,train,69,5860.289855072464,0.04380115121603012,-28.920570373535156,40.23313522338867,20.490285873413086,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
33,33,8500000,train,68,5988.823529411765,0.042692434042692184,-29.75040054321289,40.34103775024414,34.605735778808594,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
34,34,8750000,train,67,6189.4029850746265,0.041904620826244354,-32.30245590209961,40.130027770996094,24.234031677246094,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
35,35,9000000,train,68,6182.35294117647,0.040906306356191635,-27.126802444458008,39.71037673950195,18.960737228393555,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
36,36,9250000,train,68,6195.14705882353,0.039505813270807266,-25.535364151000977,40.297603607177734,25.95913314819336,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
37,37,9500000,train,67,6218.955223880597,0.04129306972026825,-29.712783813476562,40.55971145629883,22.70610237121582,ACN,T1,namethisgame,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
