,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,320,685.1875,0.07193023711442947,-23.51728057861328,49.06499481201172,15.777931213378906,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,291,519.8969072164948,0.06990461051464081,-15.471721649169922,49.653812408447266,20.051071166992188,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,138,2361.014492753623,0.07542882859706879,-14.137619018554688,49.88212966918945,25.81563377380371,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,57,4913.859649122807,0.07818827778100967,-33.7639045715332,49.87761688232422,56.3825798034668,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,45,5386.888888888889,0.07301698625087738,-30.119915008544922,49.8165283203125,85.10264587402344,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,13,5665.384615384615,0.05835917219519615,-20.552978515625,49.83977127075195,28.2418212890625,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,14,4884.285714285715,0.042499516159296036,-17.28665542602539,49.89622497558594,18.993389129638672,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,33,4795.454545454545,0.03142233565449715,-9.705083847045898,49.94963073730469,18.090303421020508,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,27,3928.5185185185187,0.024945637211203575,-8.76679515838623,50.007816314697266,17.710811614990234,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,26,3924.6153846153848,0.022005315870046616,-8.786786079406738,50.06658172607422,20.60737419128418,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,29,4395.172413793103,0.024536892771720886,-9.608067512512207,50.12308120727539,35.24032211303711,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,24,4630.416666666667,0.02407381497323513,-9.923327445983887,50.19857406616211,24.61322784423828,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,33,4675.454545454545,0.02456093207001686,-12.417888641357422,50.27825927734375,40.43177795410156,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,44,4802.954545454545,0.029291007667779922,-16.178129196166992,50.369930267333984,21.997493743896484,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
14,14,3750000,train,46,5626.739130434783,0.03343712165951729,-17.57190704345703,50.476234436035156,43.38015365600586,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
15,15,4000000,train,46,4751.739130434783,0.03967318683862686,-27.50773048400879,50.58988952636719,41.65104293823242,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
16,16,4250000,train,36,6373.055555555556,0.04227032884955406,-24.938310623168945,50.716190338134766,30.225744247436523,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
17,17,4500000,train,60,4815.833333333333,0.04488242045044899,-27.22565460205078,50.839473724365234,31.43336296081543,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
18,18,4750000,train,61,4466.229508196721,0.04678883031010628,-26.609203338623047,50.95140838623047,29.838367462158203,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
19,19,5000000,train,77,4715.974025974026,0.0489736944437027,-28.323022842407227,51.10050964355469,44.203041076660156,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
20,20,5250000,train,78,5061.153846153846,0.05473770946264267,-27.674989700317383,51.25588607788086,46.21878433227539,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
21,21,5500000,train,51,5240.78431372549,0.05547172576189041,-27.05491828918457,51.41387939453125,40.97343826293945,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
22,22,5750000,train,36,5068.055555555556,0.05123497173190117,-25.714616775512695,51.556610107421875,55.34418869018555,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
23,23,6000000,train,20,6570.0,0.04251996427774429,-27.857526779174805,51.68177795410156,51.7847900390625,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
24,24,6250000,train,21,8406.666666666666,0.03454194590449333,-31.327985763549805,51.79167556762695,42.65645980834961,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
25,25,6500000,train,84,5256.309523809524,0.035603635013103485,-27.540834426879883,51.91041946411133,68.1637954711914,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
26,26,6750000,train,89,5193.70786516854,0.04309815540909767,-30.677732467651367,52.05049133300781,34.14841079711914,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
27,27,7000000,train,109,5250.366972477064,0.059051305055618286,-30.989484786987305,52.204925537109375,42.55617141723633,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
28,28,7250000,train,76,6858.9473684210525,0.07063178718090057,-30.778549194335938,52.39738845825195,80.04229736328125,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
29,29,7500000,train,60,6824.666666666667,0.07270997762680054,-30.283878326416016,52.594539642333984,49.78500747680664,ACN,T2,phoenix,8,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
