,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,108,-207.7037037037037,0.01660442166030407,-18.136920928955078,18.773006439208984,6.791440486907959,ACN,T1,pitfall,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,63,-118.61904761904762,0.011247791349887848,-7.874261856079102,12.547675132751465,0.8626222014427185,ACN,T1,pitfall,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,18,-137.11111111111111,0.008085924200713634,-6.369277000427246,10.583869934082031,0.7525132894515991,ACN,T1,pitfall,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,11,-88.0909090909091,0.006555122788995504,-5.1160454750061035,8.982305526733398,0.7875229716300964,ACN,T1,pitfall,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,9,-117.88888888888889,0.003884971374645829,-4.097127437591553,7.522429943084717,0.7569872736930847,ACN,T1,pitfall,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,10,-52.6,0.001470021205022931,-3.2914047241210938,6.261600971221924,0.7339602708816528,ACN,T1,pitfall,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,9,-47.333333333333336,0.0006639281054958701,-2.6729936599731445,5.2256693840026855,0.7139427661895752,ACN,T1,pitfall,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,9,-66.0,0.0006885785260237753,-2.1130497455596924,4.294580936431885,0.6149811148643494,ACN,T1,pitfall,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,9,-28.0,0.000625281420070678,-1.7641332149505615,3.5197794437408447,0.567601203918457,ACN,T1,pitfall,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,10,-24.2,0.0004053579468745738,-1.3784934282302856,2.8609120845794678,0.4897347390651703,ACN,T1,pitfall,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,9,-94.88888888888889,0.0006279661320149899,-1.0507832765579224,2.3004841804504395,0.41594117879867554,ACN,T1,pitfall,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,9,-22.22222222222222,0.0006272747414186597,-0.7984411716461182,1.8350266218185425,0.3875465393066406,ACN,T1,pitfall,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,9,-48.666666666666664,0.0005655798013322055,-0.6106654405593872,1.459170937538147,0.33915361762046814,ACN,T1,pitfall,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,10,-43.6,0.0006431590300053358,-0.614482581615448,1.149056077003479,0.2893846929073334,ACN,T1,pitfall,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
14,14,3750000,train,10,-74.8,0.0004250062338542193,-0.7477956414222717,0.8959879279136658,0.2419382482767105,ACN,T1,pitfall,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
15,15,4000000,train,9,-313.3333333333333,0.001073402352631092,-0.4014318287372589,0.706399142742157,0.22581827640533447,ACN,T1,pitfall,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
16,16,4250000,train,10,-376.3,0.0021165721118450165,-0.5202286243438721,0.5469699501991272,0.24621877074241638,ACN,T1,pitfall,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
17,17,4500000,train,36,-286.8888888888889,0.004747607279568911,-2.589355707168579,0.6509565711021423,0.3355901539325714,ACN,T1,pitfall,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
