,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,282,-20.4822695035461,0.004449000116437674,-20.230966567993164,15.36063003540039,19.36312484741211,ACN,T3,pong,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,309,-20.893203883495147,0.0032498904038220644,-8.556392669677734,9.744776725769043,0.6698485612869263,ACN,T3,pong,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,310,-20.883870967741935,0.0031295702792704105,-6.798055648803711,8.186923027038574,0.6687208414077759,ACN,T3,pong,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,290,-20.69655172413793,0.0023751026019454002,-6.135158061981201,7.158500671386719,0.5081046223640442,ACN,T3,pong,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,282,-20.4468085106383,0.002128663007169962,-4.834863185882568,6.174572467803955,0.5735211372375488,ACN,T3,pong,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,268,-20.317164179104477,0.0018941215239465237,-4.139558792114258,5.040469169616699,0.6978731751441956,ACN,T3,pong,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,216,-19.49074074074074,0.002212594263255596,-3.5499794483184814,4.51895809173584,1.511256456375122,ACN,T3,pong,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,175,-18.66857142857143,0.0025428852532058954,-3.0911035537719727,3.760986089706421,1.3648451566696167,ACN,T3,pong,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,132,-16.924242424242426,0.002789735095575452,-2.703991413116455,3.409724712371826,7.414516925811768,ACN,T3,pong,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,134,-16.791044776119403,0.002847564173862338,-2.317354917526245,2.8599746227264404,1.953769564628601,ACN,T3,pong,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,135,-17.125925925925927,0.0027474062517285347,-1.9832309484481812,2.5954906940460205,4.205095291137695,ACN,T3,pong,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,129,-15.488372093023257,0.003060765564441681,-1.7954021692276,2.506044864654541,2.2815966606140137,ACN,T3,pong,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,124,-14.709677419354838,0.0037515622097998857,-1.7342677116394043,2.702385187149048,2.635815143585205,ACN,T3,pong,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,120,-14.041666666666666,0.0037336593959480524,-1.7375530004501343,2.712738275527954,2.400261163711548,ACN,T3,pong,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
14,14,3750000,train,113,-13.424778761061948,0.003845097031444311,-1.6574949026107788,2.8654303550720215,2.2537968158721924,ACN,T3,pong,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
