,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,92,625.2934782608696,0.033511266112327576,-16.003419876098633,14.49425983428955,9.246166229248047,ACN,T2,privateeye,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,93,2681.0,0.06911750882863998,-11.149757385253906,13.572002410888672,2.5535945892333984,ACN,T2,privateeye,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,92,2137.1195652173915,0.07630910724401474,-15.352154731750488,13.338040351867676,4.789621829986572,ACN,T2,privateeye,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,93,292.0,0.06971269100904465,-21.296812057495117,12.439817428588867,5.62217903137207,ACN,T2,privateeye,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,93,92.79569892473118,0.06295967102050781,-29.65648078918457,11.967145919799805,10.962010383605957,ACN,T2,privateeye,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,92,230.3586956521739,0.04349170997738838,-34.84427261352539,12.771235466003418,10.121163368225098,ACN,T2,privateeye,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,93,54.12903225806452,0.02611870877444744,-36.042579650878906,22.933612823486328,8.643739700317383,ACN,T2,privateeye,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,93,102.79569892473118,0.020087173208594322,-34.793670654296875,30.17731285095215,8.711601257324219,ACN,T2,privateeye,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,92,98.47826086956522,0.022266654297709465,-36.18917465209961,34.782920837402344,9.788774490356445,ACN,T2,privateeye,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,93,25.806451612903224,0.01749369688332081,-33.9137077331543,33.00175857543945,9.804852485656738,ACN,T2,privateeye,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,93,0.0,0.013697071000933647,-21.0599422454834,33.27573776245117,7.374870777130127,ACN,T2,privateeye,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,92,-11.597826086956522,0.012010925449430943,-13.224320411682129,29.27045440673828,10.073159217834473,ACN,T2,privateeye,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,93,-25.516129032258064,0.010582652874290943,-13.707304954528809,25.934431076049805,10.247581481933594,ACN,T2,privateeye,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,93,-2.6451612903225805,0.008202757686376572,-13.073591232299805,24.370498657226562,11.550622940063477,ACN,T2,privateeye,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
14,14,3750000,train,92,-6.391304347826087,0.0073713515885174274,-11.58153247833252,21.246885299682617,9.492822647094727,ACN,T2,privateeye,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
15,15,4000000,train,93,5.064516129032258,0.007273470517247915,-11.294716835021973,19.4672794342041,7.812005996704102,ACN,T2,privateeye,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
16,16,4250000,train,93,0.0,0.0054912562482059,-10.084227561950684,18.427806854248047,8.787066459655762,ACN,T2,privateeye,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
17,17,4500000,train,92,-110.26086956521739,0.005814050789922476,-12.574638366699219,23.486284255981445,7.524897575378418,ACN,T2,privateeye,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
18,18,4750000,train,93,198.25806451612902,0.014508471824228764,-17.007102966308594,29.69066619873047,6.61996603012085,ACN,T2,privateeye,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
19,19,5000000,train,93,-97.3763440860215,0.024238640442490578,-20.334716796875,27.979297637939453,7.181051254272461,ACN,T2,privateeye,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
20,20,5250000,train,92,-158.17391304347825,0.023117952048778534,-19.053085327148438,28.75168228149414,5.633821964263916,ACN,T2,privateeye,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
21,21,5500000,train,93,-78.90322580645162,0.022400274872779846,-21.042644500732422,30.434038162231445,6.575000762939453,ACN,T2,privateeye,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
22,22,5750000,train,93,-105.08602150537635,0.0178076159209013,-24.44395637512207,28.718353271484375,6.445052146911621,ACN,T2,privateeye,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
