,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,667,270.3898050974513,0.07903987169265747,-26.43876075744629,38.771427154541016,29.775766372680664,ACN,T1,qbert,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,459,523.2026143790849,0.10965928435325623,-24.628454208374023,47.05466842651367,45.66209411621094,ACN,T1,qbert,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,357,585.4341736694678,0.11167497932910919,-28.2022762298584,49.17256546020508,71.98283386230469,ACN,T1,qbert,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,325,611.5384615384615,0.10747866332530975,-21.491762161254883,49.66342544555664,125.2979736328125,ACN,T1,qbert,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,297,669.5286195286195,0.09225580096244812,-20.801828384399414,49.75383377075195,114.16390991210938,ACN,T1,qbert,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,314,764.8885350318471,0.07700146734714508,-20.307437896728516,49.79288101196289,79.11528778076172,ACN,T1,qbert,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,308,807.3051948051948,0.08206401765346527,-20.7820987701416,49.75971984863281,83.8510513305664,ACN,T1,qbert,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,280,855.0,0.08226001262664795,-21.577116012573242,49.740142822265625,81.64215087890625,ACN,T1,qbert,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,269,885.6877323420074,0.07930606603622437,-22.402957916259766,49.634056091308594,143.21099853515625,ACN,T1,qbert,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,247,1063.259109311741,0.07910575717687607,-24.622844696044922,49.59996032714844,117.99345397949219,ACN,T1,qbert,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,247,1017.408906882591,0.07252156734466553,-24.86525535583496,49.621707916259766,94.3582534790039,ACN,T1,qbert,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,232,1166.0560344827586,0.06989649683237076,-24.907073974609375,49.676483154296875,119.35350036621094,ACN,T1,qbert,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,234,1473.931623931624,0.06849212944507599,-25.642290115356445,49.71803665161133,93.85528564453125,ACN,T1,qbert,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,240,1654.8958333333333,0.07201508432626724,-26.493240356445312,49.84461212158203,98.14344024658203,ACN,T1,qbert,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
14,14,3750000,train,240,2094.2708333333335,0.07875223457813263,-27.433059692382812,50.1302375793457,100.83480834960938,ACN,T1,qbert,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
15,15,4000000,train,238,2181.1974789915967,0.08733460307121277,-27.304779052734375,50.60661315917969,105.3704605102539,ACN,T1,qbert,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
16,16,4250000,train,217,2513.9400921658985,0.09611474722623825,-29.672876358032227,51.19590759277344,93.75093841552734,ACN,T1,qbert,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
17,17,4500000,train,237,2309.3881856540083,0.1025945171713829,-29.754005432128906,51.906166076660156,89.96963500976562,ACN,T1,qbert,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
18,18,4750000,train,219,2882.5342465753424,0.1128787100315094,-29.88626480102539,52.64224624633789,97.0748291015625,ACN,T1,qbert,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
19,19,5000000,train,198,3084.343434343434,0.12021011859178543,-31.499862670898438,53.46476364135742,88.67847442626953,ACN,T1,qbert,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
20,20,5250000,train,193,4162.176165803109,0.12440330535173416,-32.35719299316406,54.35810852050781,95.15377044677734,ACN,T1,qbert,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
21,21,5500000,train,181,4278.176795580111,0.13298673927783966,-34.155033111572266,55.378204345703125,136.3041229248047,ACN,T1,qbert,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
22,22,5750000,train,169,4453.698224852071,0.13795456290245056,-35.440799713134766,56.429908752441406,124.60033416748047,ACN,T1,qbert,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
