,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,94,3.265957446808511,0.012986051850020885,-24.737878799438477,31.37014389038086,11.083341598510742,ACN,T3,robotank,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,90,4.022222222222222,0.005756285507231951,-10.926926612854004,24.6073055267334,1.185844898223877,ACN,T3,robotank,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,92,4.217391304347826,0.00435550045222044,-8.457399368286133,18.05605697631836,0.9169453382492065,ACN,T3,robotank,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,88,4.6022727272727275,0.003638709895312786,-6.772637367248535,15.25602912902832,1.16409432888031,ACN,T3,robotank,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,82,4.939024390243903,0.0030607201624661684,-5.225100040435791,13.214261054992676,0.8799872994422913,ACN,T3,robotank,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,85,5.141176470588236,0.002637296449393034,-4.104238033294678,11.2971773147583,0.961713433265686,ACN,T3,robotank,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,86,4.511627906976744,0.002312544034793973,-3.1346275806427,9.68674087524414,0.7775640487670898,ACN,T3,robotank,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,76,5.052631578947368,0.001987749245017767,-2.5526928901672363,8.29435920715332,0.6727378368377686,ACN,T3,robotank,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,75,6.626666666666667,0.0016746792243793607,-1.9588152170181274,6.941133975982666,0.6268453001976013,ACN,T3,robotank,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,69,6.739130434782608,0.0014814293244853616,-1.5269651412963867,5.910146236419678,0.6201412081718445,ACN,T3,robotank,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
