,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,358,166.3687150837989,0.03447875753045082,-18.803163528442383,18.7573299407959,6.184980869293213,ACN,T3,seaquest,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,277,242.8158844765343,0.031142523512244225,-13.95080280303955,20.531644821166992,20.298871994018555,ACN,T3,seaquest,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,244,262.62295081967216,0.03295948728919029,-24.602108001708984,20.61806297302246,26.200111389160156,ACN,T3,seaquest,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,249,231.2449799196787,0.03630421310663223,-29.431337356567383,27.403841018676758,21.75386619567871,ACN,T3,seaquest,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,225,251.55555555555554,0.03390611708164215,-26.437341690063477,24.804006576538086,19.659982681274414,ACN,T3,seaquest,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,161,361.7391304347826,0.03020308166742325,-27.171825408935547,25.258779525756836,16.050537109375,ACN,T3,seaquest,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,150,397.73333333333335,0.027140161022543907,-25.633386611938477,20.350059509277344,15.512321472167969,ACN,T3,seaquest,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,129,511.7829457364341,0.02575245313346386,-28.06501579284668,19.751220703125,16.046552658081055,ACN,T3,seaquest,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,113,680.1769911504425,0.02292388491332531,-25.986268997192383,20.20272445678711,16.2752685546875,ACN,T3,seaquest,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,115,688.5217391304348,0.021460533142089844,-26.39279556274414,21.663490295410156,15.516634941101074,ACN,T3,seaquest,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
