,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,177,-17450.83615819209,0.13984675705432892,-30.649677276611328,17.021696090698242,20.97532844543457,ACN,T2,skiing,3,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,99,-24024.848484848484,0.09935986995697021,-50.05525588989258,-20.852964401245117,16.543441772460938,ACN,T2,skiing,3,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,107,-23563.149532710282,0.08109505474567413,-50.270973205566406,-22.67624855041504,12.324936866760254,ACN,T2,skiing,3,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,112,-22873.366071428572,0.07630296051502228,-50.428592681884766,-29.50026512145996,7.788552761077881,ACN,T2,skiing,3,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,117,-22148.871794871793,0.06932622194290161,-50.54975128173828,-39.14981460571289,5.431528568267822,ACN,T2,skiing,3,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,124,-21456.822580645163,0.06684090197086334,-50.631446838378906,-43.20075988769531,4.244139671325684,ACN,T2,skiing,3,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,113,-22603.522123893807,0.06580650061368942,-50.74721908569336,-44.57911682128906,3.432504653930664,ACN,T2,skiing,3,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,118,-22118.262711864405,0.06619198620319366,-50.83946228027344,-46.86869812011719,2.2373926639556885,ACN,T2,skiing,3,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,116,-22269.594827586207,0.07361757755279541,-50.93616485595703,-47.79204177856445,1.9303239583969116,ACN,T2,skiing,3,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,112,-22597.660714285714,0.06331302225589752,-51.011512756347656,-48.535736083984375,1.364047884941101,ACN,T2,skiing,3,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,107,-23184.579439252335,0.06437961012125015,-51.08930969238281,-49.002601623535156,1.0902032852172852,ACN,T2,skiing,3,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,100,-24272.59,0.06087080016732216,-51.1561393737793,-49.38024139404297,1.1127829551696777,ACN,T2,skiing,3,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
