,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,463,162.17062634989202,0.04718727990984917,-26.591995239257812,26.97949981689453,11.10688304901123,ACN,T3,spaceinvaders,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,416,192.1875,0.037202585488557816,-9.36602783203125,22.344284057617188,6.4876484870910645,ACN,T3,spaceinvaders,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,401,221.22194513715712,0.0349380187690258,-7.22843599319458,22.063486099243164,11.05416488647461,ACN,T3,spaceinvaders,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,314,322.2611464968153,0.03748291730880737,-5.104662895202637,22.373743057250977,14.143898963928223,ACN,T3,spaceinvaders,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,249,472.4698795180723,0.03679265081882477,-3.99204158782959,24.31854248046875,13.637267112731934,ACN,T3,spaceinvaders,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,209,592.3684210526316,0.036472905427217484,-6.3398332595825195,24.028783798217773,21.148754119873047,ACN,T3,spaceinvaders,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,209,627.1531100478469,0.034635838121175766,-5.1436920166015625,24.106599807739258,15.872071266174316,ACN,T3,spaceinvaders,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,193,692.3316062176166,0.03356432914733887,-5.682129383087158,25.2645320892334,22.796236038208008,ACN,T3,spaceinvaders,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,197,744.5939086294417,0.03137275576591492,-8.27885913848877,27.642780303955078,21.14889144897461,ACN,T3,spaceinvaders,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,216,685.5555555555555,0.03122447244822979,-8.592020988464355,45.41533660888672,16.36066436767578,ACN,T3,spaceinvaders,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,236,636.7584745762712,0.03257671743631363,-12.160457611083984,46.88346862792969,16.571561813354492,ACN,T3,spaceinvaders,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,198,760.7828282828283,0.03271104395389557,-10.72904109954834,47.869930267333984,20.71340560913086,ACN,T3,spaceinvaders,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,207,752.2222222222222,0.03246033936738968,-11.489474296569824,47.95750427246094,15.97273063659668,ACN,T3,spaceinvaders,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,211,730.4265402843602,0.033358968794345856,-10.777884483337402,47.74015808105469,20.813203811645508,ACN,T3,spaceinvaders,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
