,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,253,639.9209486166008,0.07600775361061096,-18.523588180541992,27.86539649963379,10.225945472717285,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,299,646.1538461538462,0.07014049589633942,-15.340676307678223,37.07760238647461,34.38267135620117,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,493,866.5314401622718,0.0708657056093216,-32.97389221191406,37.7851676940918,44.25898361206055,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,612,963.562091503268,0.07209327816963196,-41.727542877197266,34.70270538330078,60.15235900878906,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,615,1039.1869918699188,0.0665382668375969,-42.5904541015625,33.4645881652832,68.85639953613281,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,592,1071.4527027027027,0.06188254803419113,-46.07855224609375,32.478248596191406,109.60691833496094,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,576,1102.0833333333333,0.05904984846711159,-46.62580490112305,34.163673400878906,133.14678955078125,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,495,1211.5151515151515,0.05813048034906387,-46.89109420776367,41.69312286376953,142.04739379882812,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,488,1253.688524590164,0.064993716776371,-48.00199890136719,43.990055084228516,117.25743103027344,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,466,1341.2017167381973,0.06572921574115753,-47.21511459350586,45.73761749267578,161.02430725097656,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,457,1446.1706783369802,0.06859352439641953,-47.3100471496582,47.279449462890625,165.7888641357422,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,476,1500.6302521008404,0.0715860053896904,-46.83507537841797,46.69919967651367,179.93267822265625,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,474,1537.3417721518988,0.06880243122577667,-46.345001220703125,47.61250305175781,201.19105529785156,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,459,1606.1002178649237,0.07056082040071487,-45.75661849975586,47.9350471496582,201.3425750732422,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
14,14,3750000,train,496,1567.3387096774193,0.06989245861768723,-45.805397033691406,46.995269775390625,148.26329040527344,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
15,15,4000000,train,490,1563.6734693877552,0.07025714218616486,-45.417240142822266,48.476478576660156,144.37335205078125,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
16,16,4250000,train,449,1794.4320712694878,0.07022777199745178,-45.28659439086914,47.08128356933594,194.0540313720703,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
17,17,4500000,train,421,1893.1116389548692,0.07665831595659256,-44.82716369628906,47.22773361206055,134.2538299560547,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
18,18,4750000,train,393,2086.7684478371502,0.08293206989765167,-45.70790100097656,48.2210578918457,140.91259765625,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
19,19,5000000,train,358,2346.6480446927376,0.09680977463722229,-44.5307731628418,48.34709930419922,122.0676498413086,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
20,20,5250000,train,300,2897.3333333333335,0.09803438186645508,-43.606834411621094,48.457489013671875,109.34839630126953,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
21,21,5500000,train,204,3807.3529411764707,0.11834388971328735,-44.4703254699707,49.26171112060547,171.32740783691406,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
22,22,5750000,train,172,4917.441860465116,0.13144606351852417,-46.46108627319336,49.39772415161133,180.61477661132812,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
23,23,6000000,train,164,5949.390243902439,0.1397782564163208,-44.622100830078125,49.55683517456055,140.18809509277344,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
24,24,6250000,train,141,8085.815602836879,0.14832353591918945,-44.71795654296875,49.743045806884766,152.97256469726562,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
25,25,6500000,train,128,10992.96875,0.16334141790866852,-44.28988265991211,50.00669479370117,205.91876220703125,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
26,26,6750000,train,128,12481.25,0.17883218824863434,-44.67396926879883,50.365989685058594,258.6815490722656,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
27,27,7000000,train,118,15044.06779661017,0.1918095052242279,-44.657981872558594,50.83967208862305,175.8624267578125,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
28,28,7250000,train,113,16712.389380530974,0.20926839113235474,-46.834110260009766,51.404823303222656,293.1985778808594,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
29,29,7500000,train,106,19646.22641509434,0.23571112751960754,-47.73496627807617,52.02156066894531,270.6315002441406,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
30,30,7750000,train,95,23622.105263157893,0.2484358698129654,-46.92191696166992,52.75068283081055,215.38888549804688,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
31,31,8000000,train,94,25975.531914893618,0.25788483023643494,-47.1738395690918,53.52293395996094,266.76739501953125,ACN,T2,stargunner,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
