,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,146,-23.78082191780822,0.004193687345832586,-20.957618713378906,23.54981803894043,8.46491527557373,ACN,T1,tennis,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,131,-23.717557251908396,0.0025869423989206553,-6.735700607299805,13.126102447509766,1.1740460395812988,ACN,T1,tennis,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,130,-23.715384615384615,0.002138134790584445,-5.345635414123535,11.380446434020996,1.1752182245254517,ACN,T1,tennis,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,126,-23.714285714285715,0.0018727770075201988,-4.2918901443481445,9.73776912689209,1.2449065446853638,ACN,T1,tennis,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,118,-23.838983050847457,0.0017886505229398608,-3.3650994300842285,8.349172592163086,1.6186249256134033,ACN,T1,tennis,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,114,-23.82456140350877,0.0017600079299882054,-2.666557550430298,6.960742473602295,1.2404969930648804,ACN,T1,tennis,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,110,-23.818181818181817,0.0018379157409071922,-2.0812413692474365,5.922184467315674,1.3048564195632935,ACN,T1,tennis,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,100,-23.83,0.002003971952944994,-1.5407731533050537,4.9645209312438965,1.2378894090652466,ACN,T1,tennis,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,98,-23.806122448979593,0.002300569321960211,-1.122861623764038,4.081273078918457,1.1594527959823608,ACN,T1,tennis,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,98,-23.785714285714285,0.002817282686010003,-0.838830292224884,3.35364031791687,1.0822614431381226,ACN,T1,tennis,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,79,-23.848101265822784,0.0032908667344599962,-0.7064663767814636,2.70560622215271,1.0199748277664185,ACN,T1,tennis,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,31,-23.838709677419356,0.0032211877405643463,-0.5523386001586914,2.17568039894104,0.7574635148048401,ACN,T1,tennis,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,26,-23.807692307692307,0.0029285454656928778,-0.3635982573032379,1.7223180532455444,0.6842483282089233,ACN,T1,tennis,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,23,-22.391304347826086,0.0023672839161008596,-0.2527480125427246,1.3481491804122925,0.5047503113746643,ACN,T1,tennis,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
14,14,3750000,train,20,-23.05,0.001583511708304286,-0.165669247508049,1.0561364889144897,0.4416443407535553,ACN,T1,tennis,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
15,15,4000000,train,19,-19.263157894736842,0.0013844436034560204,-0.17998215556144714,0.8330773115158081,0.3650103211402893,ACN,T1,tennis,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
