,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,501,724.0918163672654,0.11144858598709106,-18.668664932250977,48.95186996459961,26.452388763427734,ACN,T2,upndown,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,410,2002.7317073170732,0.1735536903142929,-13.847575187683105,49.774192810058594,32.486759185791016,ACN,T2,upndown,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,349,3291.833810888252,0.2207546979188919,-12.20527172088623,49.825443267822266,44.082725524902344,ACN,T2,upndown,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,321,3639.8130841121497,0.26167312264442444,-11.972570419311523,49.86724090576172,65.75787353515625,ACN,T2,upndown,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,263,4566.539923954372,0.30008816719055176,-11.730152130126953,49.956581115722656,69.67670440673828,ACN,T2,upndown,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,210,5384.333333333333,0.2566238045692444,-10.921931266784668,50.13363265991211,61.578487396240234,ACN,T2,upndown,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,183,6395.846994535519,0.23994508385658264,-11.814289093017578,50.30466842651367,80.02696228027344,ACN,T2,upndown,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,181,6785.635359116022,0.2246297150850296,-10.742294311523438,50.501304626464844,81.73884582519531,ACN,T2,upndown,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,166,8424.4578313253,0.21562469005584717,-14.28344440460205,50.691429138183594,76.76264190673828,ACN,T2,upndown,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,160,8777.25,0.2251950353384018,-15.144231796264648,50.88163375854492,85.68551635742188,ACN,T2,upndown,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,152,10087.5,0.22316284477710724,-15.905854225158691,51.10237503051758,82.21499633789062,ACN,T2,upndown,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,146,10818.150684931506,0.22834791243076324,-16.25811004638672,51.32178497314453,75.64178466796875,ACN,T2,upndown,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,137,12517.664233576643,0.23531867563724518,-14.976973533630371,51.6016960144043,85.66433715820312,ACN,T2,upndown,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,135,12071.925925925925,0.23535393178462982,-15.795443534851074,51.93388366699219,92.94017028808594,ACN,T2,upndown,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
14,14,3750000,train,133,12503.383458646616,0.2421213686466217,-17.420520782470703,52.270267486572266,121.26262664794922,ACN,T2,upndown,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
15,15,4000000,train,137,11972.773722627737,0.23932842910289764,-19.64995002746582,52.64396286010742,100.55233764648438,ACN,T2,upndown,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
16,16,4250000,train,135,12487.407407407407,0.23732329905033112,-21.49239158630371,53.0424690246582,94.03813171386719,ACN,T2,upndown,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
17,17,4500000,train,127,13938.267716535433,0.2331274151802063,-21.35067367553711,53.44997024536133,135.33924865722656,ACN,T2,upndown,6,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
