,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,115,13.043478260869565,0.008108219131827354,-19.553998947143555,18.0871524810791,10.845035552978516,ACN,T2,venture,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,111,22.52252252252252,0.00542068388313055,-7.443731784820557,11.108306884765625,1.7292218208312988,ACN,T2,venture,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,112,23.214285714285715,0.0046906364150345325,-5.861820220947266,10.958600997924805,1.73026704788208,ACN,T2,venture,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,103,21.359223300970875,0.003927296027541161,-4.75087308883667,10.965682029724121,1.2414312362670898,ACN,T2,venture,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,99,23.232323232323232,0.0038054476026445627,-3.8171520233154297,10.42397689819336,1.2594715356826782,ACN,T2,venture,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,103,26.21359223300971,0.003360639326274395,-3.088834285736084,11.962531089782715,1.6218231916427612,ACN,T2,venture,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,94,20.21276595744681,0.0030520493164658546,-2.641228199005127,12.012081146240234,1.7109041213989258,ACN,T2,venture,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,95,10.526315789473685,0.0025989601854234934,-2.259150743484497,11.26329517364502,1.9515831470489502,ACN,T2,venture,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,92,23.91304347826087,0.002368867862969637,-2.0681216716766357,11.099506378173828,1.8154313564300537,ACN,T2,venture,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,83,20.481927710843372,0.0020333838183432817,-1.9963040351867676,11.037503242492676,2.0650782585144043,ACN,T2,venture,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,91,17.582417582417584,0.002110433764755726,-2.1120240688323975,10.93576431274414,2.035623788833618,ACN,T2,venture,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,100,20.0,0.0018158161547034979,-2.1184256076812744,11.075764656066895,2.066272020339966,ACN,T2,venture,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,97,16.49484536082474,0.0018259768839925528,-1.8819262981414795,11.581924438476562,2.1876893043518066,ACN,T2,venture,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,93,15.053763440860216,0.0015912976814433932,-1.7679260969161987,11.094634056091309,2.2072255611419678,ACN,T2,venture,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
14,14,3750000,train,118,16.10169491525424,0.0017378578195348382,-1.8410001993179321,10.964932441711426,2.327955722808838,ACN,T2,venture,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
15,15,4000000,train,110,14.545454545454545,0.001831189962103963,-2.039128541946411,12.436739921569824,2.8017992973327637,ACN,T2,venture,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
16,16,4250000,train,103,12.62135922330097,0.001971983350813389,-2.161832809448242,14.447893142700195,3.059905529022217,ACN,T2,venture,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
17,17,4500000,train,114,24.56140350877193,0.002134607871994376,-2.1071219444274902,15.104776382446289,3.367187738418579,ACN,T2,venture,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
18,18,4750000,train,99,24.242424242424242,0.002443017903715372,-2.147526741027832,14.96987247467041,3.5615077018737793,ACN,T2,venture,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
19,19,5000000,train,107,38.3177570093458,0.003132766345515847,-2.1522490978240967,17.755159378051758,4.931667804718018,ACN,T2,venture,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
20,20,5250000,train,120,32.5,0.004910444840788841,-3.183835744857788,31.41417121887207,6.46256160736084,ACN,T2,venture,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
21,21,5500000,train,116,25.862068965517242,0.007122709881514311,-2.719407558441162,34.010040283203125,7.020570755004883,ACN,T2,venture,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
