,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,168,7455.232142857143,0.3352120816707611,-42.32626724243164,49.52705383300781,70.55917358398438,ACN,T3,videopinball,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,190,2024.3263157894737,0.20461265742778778,-24.29766845703125,49.990055084228516,26.646459579467773,ACN,T3,videopinball,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,215,3926.772093023256,0.16120463609695435,-26.887195587158203,50.06361389160156,24.94153594970703,ACN,T3,videopinball,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,159,6336.911949685535,0.16939054429531097,-33.42623519897461,50.207786560058594,55.814884185791016,ACN,T3,videopinball,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,120,11508.558333333332,0.17250403761863708,-32.898563385009766,50.42032241821289,101.30496215820312,ACN,T3,videopinball,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,102,15466.921568627451,0.18502052128314972,-39.85085678100586,50.71163558959961,123.02587127685547,ACN,T3,videopinball,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,87,22277.862068965518,0.19953538477420807,-37.835811614990234,51.00648498535156,140.265380859375,ACN,T3,videopinball,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,93,20925.84946236559,0.20909437537193298,-36.99636459350586,51.357330322265625,110.51368713378906,ACN,T3,videopinball,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,83,25763.4578313253,0.2239183485507965,-34.64508056640625,51.861759185791016,140.22885131835938,ACN,T3,videopinball,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,78,34787.64102564102,0.24329394102096558,-37.236244201660156,52.46772003173828,129.23748779296875,ACN,T3,videopinball,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,82,35721.81707317073,0.26740849018096924,-37.436180114746094,53.21604537963867,136.00962829589844,ACN,T3,videopinball,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,77,40519.68831168831,0.28479713201522827,-39.14162063598633,54.07938766479492,155.28125,ACN,T3,videopinball,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,82,39567.18292682927,0.3144954442977905,-36.12325668334961,55.05336380004883,150.38575744628906,ACN,T3,videopinball,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,74,49729.68918918919,0.3314345180988312,-34.5465087890625,56.10424041748047,172.10015869140625,ACN,T3,videopinball,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
14,14,3750000,train,66,69443.09090909091,0.35376203060150146,-31.93597412109375,57.19084167480469,149.05130004882812,ACN,T3,videopinball,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
15,15,4000000,train,60,76354.4,0.38898932933807373,-29.174762725830078,58.359046936035156,151.4907684326172,ACN,T3,videopinball,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
16,16,4250000,train,66,65885.0303030303,0.4040251672267914,-30.047298431396484,59.56056594848633,151.2483367919922,ACN,T3,videopinball,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
17,17,4500000,train,68,63083.94117647059,0.4185717701911926,-34.00981903076172,60.78571319580078,151.4727020263672,ACN,T3,videopinball,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
18,18,4750000,train,64,68284.109375,0.415996789932251,-30.9426326751709,62.051326751708984,150.56878662109375,ACN,T3,videopinball,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
19,19,5000000,train,45,109105.33333333333,0.4168574810028076,-34.005313873291016,63.3325309753418,149.7902069091797,ACN,T3,videopinball,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
20,20,5250000,train,48,108456.14583333333,0.4276968836784363,-30.49786949157715,64.63949584960938,153.79794311523438,ACN,T3,videopinball,9,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
