,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,228,441.6666666666667,0.05434918776154518,-16.54387664794922,18.5956974029541,16.650867462158203,ACN,T1,wizardofwor,10,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,364,150.82417582417582,0.051962949335575104,-7.503715515136719,17.05878257751465,6.119859218597412,ACN,T1,wizardofwor,10,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,360,170.83333333333334,0.053035978227853775,-6.481337070465088,15.704493522644043,7.745251178741455,ACN,T1,wizardofwor,10,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,330,200.0,0.05441642925143242,-6.084721565246582,14.998327255249023,8.00693130493164,ACN,T1,wizardofwor,10,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,281,251.60142348754448,0.05021733418107033,-5.614390850067139,14.584750175476074,7.308381080627441,ACN,T1,wizardofwor,10,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,222,340.0900900900901,0.05009644478559494,-5.900692939758301,16.024978637695312,7.070791721343994,ACN,T1,wizardofwor,10,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,179,391.06145251396646,0.04916079342365265,-6.2978739738464355,20.284208297729492,5.75495719909668,ACN,T1,wizardofwor,10,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,159,525.7861635220125,0.04619065672159195,-5.896684646606445,20.710874557495117,4.236476421356201,ACN,T1,wizardofwor,10,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,187,451.8716577540107,0.04289551079273224,-5.468278408050537,35.19402313232422,11.712621688842773,ACN,T1,wizardofwor,10,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,112,864.2857142857143,0.0413513109087944,-4.395183563232422,40.20698547363281,11.075972557067871,ACN,T1,wizardofwor,10,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,97,1061.8556701030927,0.04167841374874115,-3.1794862747192383,39.93325424194336,14.491541862487793,ACN,T1,wizardofwor,10,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,113,900.8849557522124,0.04143069311976433,-1.816214919090271,40.78174591064453,12.53661823272705,ACN,T1,wizardofwor,10,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
