,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,291,3472.453608247423,0.25111183524131775,-43.048828125,49.98613357543945,266.171630859375,ACN,T3,yarsrevenge,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,399,4300.654135338345,0.24976806342601776,-31.251033782958984,49.585567474365234,375.4936218261719,ACN,T3,yarsrevenge,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,456,6044.993421052632,0.3315383493900299,-26.22797203063965,49.57720947265625,597.9213256835938,ACN,T3,yarsrevenge,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,438,6853.575342465753,0.41510361433029175,-27.359128952026367,49.816497802734375,569.9716186523438,ACN,T3,yarsrevenge,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,483,7660.902691511387,0.48535478115081787,-32.00804901123047,50.254051208496094,440.25238037109375,ACN,T3,yarsrevenge,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,331,8331.78247734139,0.5621213316917419,-36.762054443359375,50.910316467285156,755.5800170898438,ACN,T3,yarsrevenge,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,255,9606.96862745098,0.5602270364761353,-41.16423797607422,51.684261322021484,444.3879699707031,ACN,T3,yarsrevenge,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,248,10445.54435483871,0.525941789150238,-41.48373794555664,52.542015075683594,430.505615234375,ACN,T3,yarsrevenge,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,204,10002.81862745098,0.4568624496459961,-42.4002571105957,53.457828521728516,427.4194641113281,ACN,T3,yarsrevenge,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,155,10951.316129032259,0.37828630208969116,-42.56342697143555,54.362709045410156,382.04296875,ACN,T3,yarsrevenge,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,139,9914.920863309353,0.3438938558101654,-42.568359375,55.252113342285156,228.51467895507812,ACN,T3,yarsrevenge,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,208,10316.370192307691,0.31199437379837036,-41.34778594970703,56.12694549560547,263.508056640625,ACN,T3,yarsrevenge,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,135,10295.614814814815,0.28362178802490234,-42.4366455078125,56.93692398071289,306.3481750488281,ACN,T3,yarsrevenge,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
