,iteration,total_steps,phase,episodes,avg_return,avg_loss,supp_min,supp_max,norm_max,Agent,tag,game,actions,explore steps,start epsilon,final epsilon,target update period,gamma,learning rate,adam epsilon,mem size,prefill size,max episode steps,intensity,repeat action probability,batch size,batch prefetch size,training phase steps,eval phase steps,evaluation epsilon,scaling epsilon,noop actions,atoms,warmup iterations
0,0,250000,train,270,86.66666666666667,0.0321652814745903,-26.944988250732422,31.91459846496582,14.67716121673584,ACN,T1,zaxxon,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
1,1,500000,train,267,58.052434456928836,0.022728662937879562,-12.809333801269531,33.9522590637207,4.59998083114624,ACN,T1,zaxxon,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
2,2,750000,train,260,81.15384615384616,0.020285891368985176,-11.676176071166992,39.401466369628906,8.4735746383667,ACN,T1,zaxxon,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
3,3,1000000,train,248,137.90322580645162,0.0210086852312088,-8.098075866699219,30.406906127929688,7.245184421539307,ACN,T1,zaxxon,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
4,4,1250000,train,211,363.0331753554502,0.027645042166113853,-6.584702968597412,29.211441040039062,9.694229125976562,ACN,T1,zaxxon,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
5,5,1500000,train,165,755.7575757575758,0.0448412224650383,-5.380265235900879,29.33079719543457,25.074016571044922,ACN,T1,zaxxon,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
6,6,1750000,train,150,994.6666666666666,0.06455609202384949,-4.672797203063965,28.36744499206543,28.12493896484375,ACN,T1,zaxxon,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
7,7,2000000,train,149,1269.1275167785234,0.07712864130735397,-4.383980751037598,29.965360641479492,29.42498207092285,ACN,T1,zaxxon,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
8,8,2250000,train,134,1446.2686567164178,0.08516242355108261,-4.794232368469238,34.431304931640625,32.1722297668457,ACN,T1,zaxxon,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
9,9,2500000,train,133,1456.390977443609,0.09197381883859634,-6.233396530151367,36.480430603027344,35.34994888305664,ACN,T1,zaxxon,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
10,10,2750000,train,131,1254.9618320610687,0.09401862323284149,-6.887872695922852,39.254608154296875,18.910991668701172,ACN,T1,zaxxon,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
11,11,3000000,train,134,1400.0,0.08591219037771225,-8.68828010559082,42.16733932495117,20.383363723754883,ACN,T1,zaxxon,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
12,12,3250000,train,134,1620.1492537313434,0.08497723191976547,-10.859147071838379,44.7603645324707,25.165321350097656,ACN,T1,zaxxon,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
13,13,3500000,train,126,1637.3015873015872,0.08778747916221619,-10.588077545166016,45.643795013427734,29.97601318359375,ACN,T1,zaxxon,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
14,14,3750000,train,133,1469.172932330827,0.09569359570741653,-12.372299194335938,46.33641052246094,32.23274230957031,ACN,T1,zaxxon,18,250000,1.0,0.01,8000,0.99,5e-05,0.0003125,1000000,20000,27000,8,0.25,32,8,250000,0,0.001,0.001,30,32,0
